AAGAB hsa:79719
TBC1D32 hsa:221322
TBX19 hsa:9095
TCEA3 hsa:6920
TCTEX1D2 hsa:255758
TENM4 hsa:26011
TEP1 hsa:5728
TEP1 hsa:7011
THAP7 hsa:80764
THAP7-AS1 ---
THUMPD3-AS1 ---
TIAM1 hsa:7074
TJP1 hsa:7082
TLR5 hsa:7100
TM6SF2 hsa:53345
TMEM108 hsa:66000
TMEM128 hsa:85013
TMEM145 hsa:284339
TMEM150A hsa:129303
TMEM203 hsa:94107
TMEM241 hsa:85019
TMEM267 hsa:64417
TMEM35A hsa:59353
TMEM41B hsa:440026
TMEM47 hsa:83604
TMEM87B hsa:84910
TMEM9 hsa:252839
TMEM97 hsa:27346
TMF1 hsa:7110
TMSB4X hsa:7114
TNIP2 hsa:79155
TNNI3 hsa:7137
TNXB hsa:7148
TOB1 hsa:10140
TOMM40L hsa:84134
TP53 hsa:7157
TP53INP1 hsa:94241
TPCN1 hsa:53373
TPM3 hsa:7170
TPRG1L hsa:127262
TPST2 hsa:8459
TRIM4 hsa:89122
TRIM44 hsa:54765
TRIP12 hsa:9320
TRMT2A hsa:27037
TRPC1 hsa:7220
TRPS1 hsa:7227
TSPEAR-AS1 ---
TSPEAR-AS2 ---
TSSK6 hsa:83983
TTC37 hsa:9652
TTC39B hsa:158219
TTC7A hsa:57217
TUT7 hsa:79670
TVP23B hsa:51030
TXNDC11 hsa:51061
TXNDC15 hsa:79770
TXNRD2 hsa:10587
UBE2G1 hsa:7326
UBE3C hsa:9690
UBR2 hsa:23304
UBR4 hsa:23352
UEVLD hsa:55293
UFD1 hsa:7353
UHMK1 hsa:127933
URI1 hsa:8725
USP8 hsa:9101
USP9X hsa:8239
VHL hsa:7428
VPS53 hsa:55275
VWA7 hsa:80737
VWC2 hsa:375567
WASHC4 hsa:23325
WDR41 hsa:55255
WDR55 hsa:54853
WIPI1 hsa:55062
WSB1 hsa:26118
WWC3 hsa:55841
XRN1 hsa:54464
XYLT1 hsa:64131
YBEY hsa:54059
ZBTB43 hsa:23099
ZC3H11A hsa:9877
ZDHHC8 hsa:29801
ZFAND4 hsa:93550
ZFP36 hsa:7538
ZFP41 hsa:286128
ZHX1-C8orf76 hsa:100533106
ZHX2 hsa:22882
ZMYM2 hsa:7750
ZMYM5 hsa:9205
ZNF12 hsa:7559
ZNF141 hsa:7700
ZNF160 hsa:90338
ZNF17 hsa:7565
ZNF248 hsa:57209
ZNF267 hsa:10308
ZNF274 hsa:10782
ZNF280C hsa:55609
ZNF324B hsa:388569
ZNF333 hsa:84449
ZNF41 hsa:7592
ZNF483 hsa:158399
ZNF559 hsa:84527
ZNF561-AS1 ---
ZNF57 hsa:126295
ZNF576 hsa:100170229
ZNF576 hsa:79177
ZNF582 hsa:147948
ZNF584 hsa:201514
ZNF611 hsa:81856
ZNF675 hsa:171392
ZNF681 hsa:148213
ZNF713 hsa:349075
ZNF74 hsa:7625
ZNF766 hsa:90321
ZNF773 hsa:374928
ZNF774 hsa:342132
ZNF781 hsa:163115
ZNF783 hsa:100289678
ZSCAN22 hsa:342945
ZSCAN23 hsa:222696
