"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"11511","ENSG00000184922.9|protein_coding|FMNL1",2.28112,4.00789,3.11969,1.63275,2.77691,2.31057,2.79865,2.6322,2.82257,2.8688,3.38067,6.83537,2.77146,1.82974,4.0426,5.34453,5.04544,3.23585,4.25574,1.46208958529428,0.0302075791767988
"11539","ENSG00000185100.6|protein_coding|ADSSL1",2.58572,3.55692,8.1267,2.43944,3.73475,3.46478,1.846,3.49871,3.44087,3.2387,6.46865,11.1349,4.308,3.57684,12.802,8.82559,7.3916,3.45933,3.21628,1.77341090338286,0.0436612549471553
"11563","ENSG00000185252.13|protein_coding|ZNF74",21.0346,16.2793,16.692,16.9408,18.761,20.1474,23.1646,25.6393,22.7814,10.1153,7.4194,8.49915,10.5876,10.5091,9.13024,7.71001,7.43766,12.0252,8.95775,0.458289713867474,1.70253302216527e-06
"11603","ENSG00000185522.4|protein_coding|C11orf35",1.30811,2.94488,1.64666,0.608139,1.7199,1.37585,2.61025,2.42625,2.53121,3.45894,1.5623,3.1029,1.88517,2.64383,3.86511,2.41656,2.40023,2.62724,2.76161,1.40068442313078,0.0359477515063912
"11612","ENSG00000185608.4|protein_coding|MRPL40",10.3953,9.91408,19.1538,10.3372,15.6175,12.3646,10.5116,18.1,11.7557,5.72493,7.24946,6.286,5.60323,5.19862,5.29999,6.61574,6.15374,7.1206,5.85939,0.465515297616297,0.000316483569758385
"11643","ENSG00000185753.8|protein_coding|CXorf38",5.43127,4.12658,5.78102,4.95953,4.59692,4.953,4.54255,3.78747,5.24847,4.46489,4.9353,7.18746,8.58139,5.36536,7.93283,7.23875,5.27908,5.04664,7.4168,1.3149400105603,0.0111556866109675
"11645","ENSG00000185774.10|protein_coding|KCNIP4",2.82785,2.89052,1.18381,5.08559,1.67048,2.60801,3.13106,6.30298,4.01626,2.78098,0.909713,0.806786,3.59944,2.43724,1.25416,1.38982,2.32392,1.81753,2.32603,0.594990035858794,0.0472908953941958
"11655","ENSG00000185838.9|protein_coding|GNB1L",3.46629,3.30954,4.86781,2.8278,4.37481,7.40273,4.766,3.70875,4.35585,2.21452,2.26522,1.04621,3.04951,1.69074,3.18022,1.77798,2.04495,1.45291,3.43104,0.510188952900722,0.00118042433948803
"11815","ENSG00000187231.9|protein_coding|SESTD1",30.0146,17.8938,29.2271,37.8263,21.7309,29.9939,44.1667,33.5886,26.8717,31.6126,36.003,25.9524,43.0583,43.7353,32.146,50.9777,58.4579,33.0927,42.013,1.31708845409887,0.0320960774858246
"11932","ENSG00000188321.9|protein_coding|ZNF559",9.82344,8.85614,8.66088,11.7124,10.9501,8.70164,9.70617,9.33793,12.76,10.2993,9.24914,11.7234,6.23703,1.56174,4.67895,4.40133,4.40565,9.81337,6.57607,0.685584722794604,0.0158299329456631
"11963","ENSG00000188629.7|protein_coding|ZNF177",8.52556,4.9362,6.66479,9.43721,7.14224,5.70122,8.59118,10.2447,8.03616,7.09134,4.25453,5.97203,4.70989,1.12499,4.7562,5.39983,3.04194,9.90068,5.36835,0.670587445651123,0.0152961403467614
"11973","ENSG00000188706.8|protein_coding|ZDHHC9",26.0052,19.7958,26.1944,23.368,20.4802,25.1555,23.3294,20.4284,23.0724,22.8369,25.7166,31.6341,25.2536,26.0192,21.8162,34.1848,33.0533,25.686,23.7847,1.16916556039019,0.0282421353905027
"11975","ENSG00000188730.3|protein_coding|VWC2",1.18698,1.69509,0.536933,1.12726,2.31608,2.89825,1.85175,1.99507,2.39406,1.44009,1.87614,1.23062,0.82335,0.658234,0.541294,1.05716,0.326266,1.32642,1.59992,0.611915203056619,0.0324657998557832
"12013","ENSG00000189060.4|protein_coding|H1F0",69.9857,85.3711,62.3514,85.5568,43.1734,139.124,71.8784,25.4893,78.0447,162.89,104.258,144.617,141.77,117.539,146.216,71.4944,135.152,106.993,110.721,1.6906625789667,0.00178445523738354
"12095","ENSG00000196323.7|protein_coding|ZBTB44",9.36205,9.61502,9.59208,8.99428,7.58786,10.4432,9.31681,8.33928,6.76752,8.66732,9.88743,11.0472,9.75278,9.26767,13.4847,12.6321,12.1353,8.36608,8.82993,1.17052840544827,0.0428842161532272
