"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"11718","ENSG00000166068",15.73823,12.55903,11.17675,20.442117,11.3503,15.94105,16.21807,16.78751,10.3391,11.61589,11.13071,22.02524,9.784452,14.04967,17.42033,14.67958,20.07408,22.81532,12.58265,10.40189,21.09074,20.49438,19.31918,19.55833,22.53347,17.70824,24.05791,22.40881,22.064733,19.43363,19.33701,22.5896,0.732457526578481,0.0205617007402386
"11736","ENSG00000166140",40.763847,42.08354,36.74178,30.64193,35.470183,20.834701,32.2268151,28.461473,29.426891,41.95401,29.696373,15.153628,32.58895,15.074938396,29.477936,19.973785,27.579444,31.3391905042,26.514789,17.099559,26.603903,24.471545,28.1206709296,17.935023,26.993892,29.66095,26.18829,18.378165,17.963401,17.448011,17.618779,22.852105,1.38242287556734,0.0153010002564166
"11742","ENSG00000166153",1.226599,0.859205,3.213307,5.165351,2.289336,6.049306,2.88179,4.032201,4.847152,1.983533,3.381516,7.59275,2.62811,4.112169,2.200875,4.702272,3.271777,2.714069,4.092304,0.512476,2.54699,2.1007483594,2.262288,3.988266,4.55005,0.369653,0.220156,3.811639,5.327201,4.412143,1.628515,7.53435,0.418588689018619,0.0249765898952637
"11759","ENSG00000166199",57.149274,42.87924,55.58525,34.70495292,44.138856,42.83867921,34.353024,35.678772,43.14191,35.28445,49.7593,41.61949,34.108333,41.48434,35.019788,51.70419,37.565159,45.675339,29.366222,32.75684,30.846739,47.71267,36.598568,33.285259,42.814221,45.84421,39.60039,26.57242,33.197742,55.969783,34.00891,20.61862,1.35356286972135,0.0307811294511823
"11794","ENSG00000166340",30.09392,30.032033,26.672748,48.84720523,22.21438,37.8923600128,46.574117,42.529025696,22.00511,26.7541,27.680774,80.1276799,34.1860840976,27.4774463,37.247271,50.8413306756,36.8563,24.841662,33.959984,23.291394,48.989254,45.8496168436,24.769647,49.3687640227,38.293187,41.61481,24.1606499417,30.441189,27.88656,29.947196,26.51946,41.007066,0.61994655495149,0.00186717768758046
"11999","ENSG00000167136",88.5168,58.3168,74.228,33.756,85.166,46.5423,61.7356,56.0462,67.5427,59.6623,77.9156,27.0311,68.5851,50.4849,50.2913,60.2943,58.6228,30.998,47.1644,31.4245,36.551,38.1581,26.0353,25.9073,52.952,36.2043,35.4526,25.3513,33.3832,33.1021,23.5614,21.7439,1.54597862177978,0.0257799230186268
"12038","ENSG00000167333",9.9781930457,10.912784,12.42957,10.58842918,9.88186,7.3744179,6.27037,7.5486052,11.65803,9.883343,12.708665,8.501243,9.95163,4.48288,8.318557,6.1009507926,9.852436,14.32917,11.01384,5.48737735,13.05723,9.53742,8.615164224,9.11704,11.610429,7.6071190125,12.78063,8.820373,7.0313445,16.87086,8.43434,9.007590638,1.35934329583382,0.0473241579236771
"12082","ENSG00000167552",7374.57126,6241.10473,6657.10544,4621.0507,6347.93062,4463.75181,4212.18142,4455.44082,6964.92863,5668.47743,7903.79508,3434.10975,6095.89101,4664.6916,4463.815768,4580.18424,4522.60848,4278.03319,6294.99169,5032.04878,3940.90035,4153.96057,4129.0668,3575.23554,4817.42125,4304.2661,4027.43648254,3167.3399,3183.414706,4167.41379,3910.58381,3683.26296,1.49955357788518,0.00174527549161187
"12089","ENSG00000167578",64.275114,63.378081,59.91178,51.390384,63.23997,34.48688,49.3397378263,53.021848,68.82955,83.837874,63.264294,47.62886,52.86731,23.010772,62.02368,47.30234848,80.481706,47.16819,57.910764,32.113999,36.12822,46.38061,40.16319,24.377481,72.830609,44.996638,36.23218,31.05325,16.704406,35.53443,34.616294,37.13848,1.33237610212469,0.031776702466195
"12113","ENSG00000167645",71.58312,80.16658,78.58587,58.4379696426,67.2276505028,56.338188,65.01357,67.49355,83.160855,71.367328,72.99379,55.53254,58.942176,55.607721,62.772081074,66.771546,80.92136,50.027945,68.109107,53.6513464477,58.429533,59.478299,55.467938,50.43421,77.148469,46.403909,51.3076933331,49.0874,51.120411,57.12125,51.357699971,45.871992,1.20332932877439,0.0209254122207678
"12124","ENSG00000167676",0.483469,1.35764,1.06204,1.6351900022,0.820246,1.3073,1.77261,1.6418200008,0.567937,0.785894,1.12576,1.49547,1.13976,0.614041,1.37934,1.10796,0.633179,1.78739,0.767708,0.81635,2.181709,1.616778,1.849018,2.01247,1.1779564,0.588341,1.44446,2.0998849157,1.806262,1.9398,1.1447900005,1.50887,0.58572311720815,0.0290565046253894
"12137","ENSG00000167720",47.85099,42.20699,34.50816,55.39708,42.62517,52.00586,50.944378,56.84771,51.80944,47.77116,48.05302,73.17917,54.06078,52.947151,43.771334,50.28905,44.76179,46.30664,61.233838,49.39461,42.406657,35.336911,50.55001,52.639882,62.07397,52.99976,45.89275,48.30339,45.554822,63.41035,37.53953,56.33775,0.776929242064087,0.0143997160220177
"12211","ENSG00000167987",13.17859,11.276731,12.95708,14.58696,10.7023710133,13.44619,19.2667,18.42665,19.082984,17.345879,22.995313,15.830622,12.934311,15.197388,14.2157395,17.02485,17.95388,17.549895,17.10195,20.493194,17.830534,20.98325,21.63665,25.09695,25.78053,20.59214,21.26013,21.62033,23.31034,15.2723,19.126017,16.50485,0.732045248313846,0.0458671465725449
"12356","ENSG00000168566",5.512566,3.648926,7.141691,8.07564,5.800025,8.124991,7.559868,7.126808,5.014099,7.94837,7.43624,11.194483,8.20282,10.89991,8.287549,7.35688,7.99734,10.764119,6.45572,5.01034,10.819646,10.40899,11.4975,12.35902,6.9813001188,9.210963,10.30717,12.9176,12.309176,10.71513,13.57056,10.95481,0.715608129902681,0.0494394548562733
"12357","ENSG00000168569",20.60485,19.8239263341,18.05656,24.72723,13.47145,25.81824,23.87617,20.60195,22.49261,15.1505,17.924263,21.08636,21.1492,21.14552,17.65391,18.66173,18.4645,19.77444,23.15748,23.505751,22.42669,19.50232,20.24842,22.82721,19.536654,23.75802,19.114538,28.45135,22.58722,22.90072,19.22991,29.31387,0.757251818565264,0.029056194992232
"12384","ENSG00000168710",50.2906,52.109447,56.48987,63.328186,46.59379,57.73386,56.17709,63.56521,56.472777,59.9671,63.2464,65.97061,70.45615,47.751646,62.240455,70.276336,65.68461,68.25259,69.663207,74.381667,62.567872,67.793002,61.40426,70.33823,65.61019,51.82527,77.53572,68.45344,64.228708,61.6313063,55.378083,60.83269,0.85332225274705,0.0199001969603749
"12483","ENSG00000169118",11.051584178,13.924617,9.70416,19.553923,11.193226,15.20414833,16.585342,15.534205,12.52836,14.62391,18.11972,36.302115,27.62539,9.659478,16.96359688,13.490808,22.2661482,18.690798,14.6358209955,12.1016890074,12.0263484,13.114622,18.352852,18.881676,16.74832,15.928245,14.602739,24.9206938661,10.8121155,18.19958,20.383323092,19.41002589,0.685933326029076,0.00767902586402182
"12523","ENSG00000169251",26.433477,22.34039,23.35926,28.38075,24.25398,28.78721,29.2824,33.33804,29.512384,33.24153,23.72211,33.14643,27.560551,30.68191,26.971395,33.399976,31.48506,30.12444,21.766463,15.682732,32.205618,28.493933,17.68229276,25.041882,26.834801,24.35871,25.03845,24.595645,24.661862,24.44736,27.436912,22.033601,0.804644748573318,0.00763637417967863
"12545","ENSG00000169359",11.29153,7.169777,6.67193,13.458588,9.81997,13.06391,10.9703,11.94647,10.48556,9.28714,13.0872,19.52243,8.72625,15.52342,12.41499627,10.39819,12.017877,13.7472943046,14.54556,9.523617,12.816863,12.56945,12.16565,12.8527,7.11777,11.81712,12.4064,12.501758,9.272064,12.68292,15.468101,11.811681,0.706992809845,0.0369217860529876
"12549","ENSG00000169379",8.431339,11.569661,10.08443664,15.6021,5.592781,18.0425018049,16.6283200029,11.5561960368,8.515086,13.2994320137,7.062835,13.739994,14.0870028,15.87373,15.2269445674,12.8870917,12.087415,11.2426493,8.652373,9.625712,15.364818,14.54092,14.6785100081,13.074812,13.955376165,9.713706,21.3782984193,22.137976,7.08306,9.156419,22.368,13.03524,0.577045555294398,0.013710730501456
"12579","ENSG00000169519",6.4651700837,7.697155957,5.314310674,11.874785,8.123161,8.368447,11.620095,10.3116777885,8.538726,8.426685,9.4860982,12.9428150388,13.2374372194,6.292677,11.315067,9.686974,11.364433,12.003291,5.745994,4.00744,9.529047,9.563593,9.536278,11.48537,12.272796,9.512274,13.133562,10.77754,7.474385,9.8782101,14.784374,11.1718356,0.654411252662756,0.0129586518995405
"12601","ENSG00000169627",63.28152,71.3413,66.11552,38.13491,75.00445,50.72839,66.13362,46.92008,72.205914,84.118196,48.91467,24.09135,21.089603062,94.59923,37.58916,35.07168,49.41966,55.01621,78.23219,112.249741,65.88996,45.30921,47.50782,38.86291,46.12734,59.21641,45.88906,50.374161,69.26781,35.02877,57.744972,69.02825,1.36562443974504,0.0429392393087297
"12623","ENSG00000169727",159.53848,153.301395,167.7009821,131.3138101053,159.03948,125.000222,140.615103,145.9644900072,152.8971295,145.0923991242,166.33040307,97.94077741,142.8644300235,136.30526289,131.0242365028,134.0870356,123.69432,120.875626,126.1346520405,133.8229033872,127.613969,130.1675927233,122.50897691,125.97170212,124.034029008,121.422777746,117.61295194,100.5588137083,152.091656,144.4480441326,120.8448453735,103.2095910895,1.1780951322968,0.0070526462086738
"12679","ENSG00000169957",71.05943,73.29,74.5865,66.6977,67.1253,63.7239,64.4376,69.6489,57.0634,63.0405,73.70477,49.0357,61.1356,63.5883,64.961,69.8354,62.2034,51.80515,56.28953,51.746,57.7981,56.7503,57.69588,52.0585,54.865,62.1703,65.0317,56.6679,65.8064,58.6363,47.593,46.5173642,1.08148381845395,0.0448056673423806
"12725","ENSG00000170185",12.74283,11.75296,12.36809,12.41293,10.7418,14.95088,13.465973,13.731484,11.53006,11.15364,16.11952,14.15213,13.17952,12.931252,14.37432,13.96697,12.60677,11.40706,9.21781,5.59403,13.06437,11.19926,8.909656,9.563011,11.58522,11.02437,10.54339,10.16967,8.369025,12.02322,11.79562,8.4591,0.872517861434559,0.0443234952509412
"12795","ENSG00000170468",16.6587,17.1392,18.9912,14.2564,13.8063,10.8277,13.7922,13.4234,13.5332,16.0303,17.7796,11.8254,13.187,12.1722,13.7999,15.9166,15.3004,13.2595,16.177,18.3028,15.3037,15.7889,15.696,13.5397,14.6411,12.9368,13.9456,18.2991,18.415,13.3515,11.6168,14.1268,1.2733419120951,0.0388412602306897
"12801","ENSG00000170482",1.405978,1.383749,0.8490988,4.024804,1.598716,2.106468,4.54416,4.939954,0.3682702,1.149827,1.4632883,4.218473,1.555339,0,4.914082,2.3408731,2.5585156,1.688382,1.2188992,0.2066015,1.6246007055,1.74532,5.310643,2.237758,2.7823884,1.6138251,1.211204,4.543418,0.6818149,1.7302173,2.03207,2.286392,0.335409051047473,0.0221549003852399
