KCNJ9 hsa:3765
KCNK12 hsa:56660
KCNK3 hsa:3777
KDR hsa:3791
KHDRBS2 hsa:202559
KIAA0513 hsa:9764
KIF11 hsa:3832
KIF18B hsa:146909
KIF23 hsa:9493
KIF3C hsa:3797
KIFC1 hsa:3833
KIRREL2 hsa:84063
KIRREL3 hsa:84623
KLHDC8A hsa:55220
KLHL29 hsa:114818
KLHL35 hsa:283212
KLHL35 hsa:8507
KNTC1 hsa:9735
KRIT1 hsa:889
KRT18 hsa:3875
KRT19 hsa:3880
KRT8 hsa:3856
L3HYPDH hsa:112849
LAMA1 hsa:284217
LAMA2 hsa:3908
LAMA5 hsa:3911
LAMB1 hsa:3912
LBH hsa:221491
LBH hsa:81606
LCMT2 hsa:9836
LEF1 hsa:51176
LENG1 hsa:79165
LENG8 hsa:114823
LFNG hsa:3955
LGALS1 hsa:3956
LGALS3 hsa:3958
LGI2 hsa:55203
LHFPL4 hsa:375323
LHFPL4 hsa:375612
LHX1 hsa:3975
LHX5 hsa:64211
LHX6 hsa:26468
LHX8 hsa:431707
LHX9 hsa:56956
LIN28A hsa:79727
LIN28B hsa:389421
LMCD1 hsa:29995
LMO1 hsa:4004
LONRF2 hsa:164832
LOXL1 hsa:4016
LPAR1 hsa:1902
LPIN1 hsa:23175
LRAT hsa:9227
LRATD1 hsa:151354
LRIG1 hsa:26018
LRIG3 hsa:121227
LRP4 hsa:4038
LRRC32 hsa:2615
LRRC7 hsa:57554
LRRN1 hsa:4034
LRRN1 hsa:57633
LRRN4 hsa:164312
LRRN4 hsa:4034
LRRTM1 hsa:347730
LRTOMT hsa:220074
LTBP1 hsa:4052
LTBP3 hsa:4053
LTBP3 hsa:4054
LTBP4 hsa:8425
LUM hsa:4060
MAB21L1 hsa:4081
MAB21L2 hsa:10586
MAD2L1 hsa:4085
MAMLD1 hsa:10046
MAN1A1 hsa:4121
MAN2A1 hsa:4124
MAN2C1 hsa:4123
MAP1LC3A hsa:84557
MAP9 hsa:79884
MAPT hsa:4137
MARCH8 hsa:220972
MBD6 hsa:114785
MBOAT7 hsa:79143
MCM5 hsa:4174
MCM8 hsa:84515
MDC1 hsa:9656
MDFI hsa:4188
MDGA1 hsa:266727
MDK hsa:4192
MDM1 hsa:56890
MDM2 hsa:4193
ME3 hsa:10873
ME3 hsa:56110
MEF2C hsa:4208
MEGF11 hsa:84465
MEGF6 hsa:1953
MEIS1 hsa:4211
METAP1D hsa:254042
MFAP2 hsa:4237
MFAP4 hsa:4239
MFSD6 hsa:54842
MGAT3 hsa:346606
MGAT3 hsa:4248
MGP hsa:4256
MID1 hsa:4281
MIS18BP1 hsa:55320
MKI67 hsa:4288
MME hsa:4311
MME hsa:4321
MMP1 hsa:4312
MMP10 hsa:4319
MMP14 hsa:4323
MMP23B hsa:8510
MMP24 hsa:10893
MOSPD2 hsa:158747
MPP2 hsa:2305
MPP2 hsa:4355
MPPED1 hsa:758
MPPED2 hsa:744
MPZ hsa:4359
MRC2 hsa:9902
MSH5 hsa:4439
MSX2 hsa:4488
MT2A hsa:4502
MTMR10 hsa:54893
MTRNR2L6 hsa:100463482
MXD3 hsa:83463
MXRA8 hsa:54587
MYBPH hsa:4608
MYH3 hsa:4621
MYL4 hsa:4635
MYL9 hsa:10398
MYO15B hsa:80022
MYOM2 hsa:9172
MYRF hsa:745
NAA16 hsa:79612
NAALAD2 hsa:10003
NAP1L1 hsa:4673
NAP1L2 hsa:4674
NAP1L5 hsa:266812
NAPB hsa:10801
NAPB hsa:63908
NBEAL2 hsa:23218
NBPF10 hsa:100132406
NBPF14 hsa:25832
NBPF19 hsa:101060226
NBPF26 hsa:101060684
NCAPG hsa:64151
NCS1 hsa:23413
NDC1 hsa:55706
NDRG1 hsa:10397
NDRG4 hsa:65009
NDUFA6 hsa:4700
NDUFA8 hsa:4702
NECAP1 hsa:25977
NEK2 hsa:4751
NET1 hsa:10103
NET1 hsa:10276
NET1 hsa:55119
NET1 hsa:6530
NET1 hsa:9152
NETO1 hsa:81832
NEURL1 hsa:9148
NEUROG2 hsa:63973
NFATC4 hsa:4776
NFIA hsa:4774
NFIX hsa:4784
NGEF hsa:25791
NHLH1 hsa:4807
NHLH2 hsa:4808
NHSL1 hsa:57224
NID1 hsa:4811
NID2 hsa:22795
NKAIN2 hsa:154215
NKD1 hsa:85407
NKX6-2 hsa:84504
NLRP2 hsa:55655
NMNAT2 hsa:23057
NMRAL1 hsa:57407
NNAT hsa:4826
NOMO1 hsa:23420
NOSTRIN hsa:115677
NOTCH1 hsa:4851
NOTCH2 hsa:4853
NOTCH2NLA hsa:100996717
NOTCH2NLA hsa:100996763
NOTCH2NLA hsa:388677
NOTCH3 hsa:4854
NPAS2 hsa:4862
NPAS4 hsa:266743
NPIPA7 hsa:101059938
NPIPA7 hsa:101059953
NPIPB3 hsa:23117
NPNT hsa:255743
NR2F2 hsa:7026
NR4A1 hsa:3164
NR4A3 hsa:8013
NRGN hsa:4900
NRIP3 hsa:56675
NRN1 hsa:51299
NRTN hsa:4902
NRXN3 hsa:9369
NSF hsa:4905
NSG2 hsa:51617
NSUN6 hsa:221078
NT5DC1 hsa:221294
NTN1 hsa:9423
NTNG2 hsa:84628
NTS hsa:4922
NUF2 hsa:83540
NUP107 hsa:57122
NXPH1 hsa:30010
NXPH4 hsa:11247
OAF hsa:220323
OGN hsa:4969
OLFML2A hsa:169611
OLFML3 hsa:56944
OLIG2 hsa:10215
ONECUT1 hsa:3175
OSR1 hsa:130497
OSR1 hsa:9943
OSR2 hsa:116039
OSTN hsa:344901
OTULIN hsa:90268
OTX1 hsa:5013
P3H3 hsa:10536
P4HA1 hsa:5033
PACRG hsa:135138
PACSIN3 hsa:29763
PAK6 hsa:106821730
PAK6 hsa:56924
PARD3B hsa:117583
PARD6A hsa:50855
PAX2 hsa:5076
PAX3 hsa:5077
PAX7 hsa:5081
PAX8 hsa:7849
PBX2 hsa:5089
PBX3 hsa:5090
PCDH11Y hsa:27328
PCDH11Y hsa:83259
PCDH18 hsa:54510
PCDH7 hsa:5099
PCDHA12 hsa:56137
PCDHA4 hsa:56144
PCDHGB4 hsa:8641
PCDHGB6 hsa:56100
PCDHGB7 hsa:56099
PCK2 hsa:5106
PCOLCE hsa:5118
PCP4L1 hsa:654790
PCSK4 hsa:54760
PCSK5 hsa:5125
PCYT1B hsa:9468
PDCD4 hsa:27250
PDE1A hsa:5136
PDE4DIP hsa:9659
PDGFC hsa:56034
PDGFRA hsa:5156
PDGFRB hsa:5159
PDLIM4 hsa:8572
PDPN hsa:10630
PDXDC1 hsa:23042
PDYN hsa:5173
PEG10 hsa:23089
PEG3 hsa:5178
PFKFB3 hsa:5209
PGGHG hsa:80162
PHACTR2 hsa:9749
PHACTR3 hsa:116154
PHF24 hsa:23349
PHF6 hsa:84295
PHLDB2 hsa:90102
PHRF1 hsa:57661
PID1 hsa:55022
PIDD1 hsa:55367
PIF1 hsa:80119
PIP5K1A hsa:8394
PITX1 hsa:5307
PITX2 hsa:5308
PKDCC hsa:91461
PKMYT1 hsa:9088
PLA2G6 hsa:8398
PLAG1 hsa:5324
PLAGL1 hsa:5325
PLD2 hsa:5338
PLEKHG4B hsa:153478
PLK1 hsa:5347
PLK4 hsa:10733
PLOD2 hsa:5352
PLPP3 hsa:8613
PLPPR5 hsa:163404
PLSCR1 hsa:5359
PNOC hsa:5368
PNPLA2 hsa:57104
PODXL hsa:5420
POLD1 hsa:5424
POLE hsa:5426
POLI hsa:11201
POSTN hsa:10631
POU6F1 hsa:5463
PPARGC1A hsa:10891
PPFIA2 hsa:8499
PPFIBP2 hsa:8495
PPIL6 hsa:285755
PPM1F hsa:9647
PPP1R11 hsa:6992
PPP1R1A hsa:5502
PPP2R1B hsa:5519
PPP2R2C hsa:5522
PPP2R5B hsa:5526
PPT2 hsa:9374
PRDM6 hsa:93166
PREX2 hsa:80243
PRKCA hsa:5578
PRKCB hsa:5579
PRKD3 hsa:23683
PROM1 hsa:8842
PRR5L hsa:79899
PRRC2A hsa:7916
PRRX1 hsa:5396
PRSS35 hsa:167681
PRTG hsa:283659
PSRC1 hsa:84722
PTCH1 hsa:5727
PTDSS2 hsa:81490
PTGDS hsa:5730
PTH1R hsa:5745
PTK7 hsa:5754
PTN hsa:5764
PTPN13 hsa:5783
PTPN21 hsa:11099
PTPN5 hsa:84867
PTPRD hsa:5789
PTPRG hsa:5793
PTPRH hsa:5794
PTPRN hsa:5798
PTPRO hsa:10076
PTPRO hsa:5800
PTPRZ1 hsa:5803
PUS7 hsa:54517
QDPR hsa:5860
QPRT hsa:23475
RAB34 hsa:83871
RAB3A hsa:5864
RAB3B hsa:5865
RALYL hsa:138046
RAMP2 hsa:10266
RANBP17 hsa:64901
RAP1GAP hsa:5909
RARG hsa:5916
RARRES2 hsa:5919
RASD2 hsa:23551
RASGEF1A hsa:221002
RASGRF1 hsa:5923
RBFOX3 hsa:146713
RBMS1 hsa:5937
RBP2 hsa:23504
RBP2 hsa:5927
RBP2 hsa:5948
RBP4 hsa:5433
RBP4 hsa:5950
RBPMS hsa:11030
RCAN2 hsa:10231
RCN3 hsa:11123
RCN3 hsa:57333
RDH10 hsa:157506
REEP1 hsa:65055
REM2 hsa:161253
REST hsa:5978
RFK hsa:55312
RGS14 hsa:10636
RGS2 hsa:5997
RGS5 hsa:8490
RGS6 hsa:9628
RGS7BP hsa:401190
RHBDL3 hsa:162494
RHOU hsa:58480
RIMS2 hsa:9699
RIMS4 hsa:140730
RIOK2 hsa:55781
RIPOR2 hsa:9750
RNF152 hsa:220441
RNF5 hsa:6048
ROBO3 hsa:64221
ROR1 hsa:4919
ROR1 hsa:6095
ROR2 hsa:4920
ROR2 hsa:6095
RPGR hsa:6103
RPP21 hsa:79897
RPS9 hsa:6203
RRBP1 hsa:6238
RSPH14 hsa:27156
RSPO1 hsa:284654
RSPO2 hsa:340419
RSPO3 hsa:84870
RTKN hsa:6242
RTN1 hsa:6252
RUNDC3A hsa:10900
RUNDC3B hsa:154661
RXRB hsa:6257
S100A11 hsa:6282
S100A13 hsa:6284
S100A16 hsa:140576
S100A16 hsa:388697
S100B hsa:6285
S1PR3 hsa:1903
SAPCD2 hsa:89958
SARS2 hsa:54938
SCAF11 hsa:9169
SCAMP5 hsa:192683
SCD5 hsa:79966
SCG2 hsa:4221
SCG2 hsa:7857
SCG5 hsa:6447
SCGN hsa:10590
SCN3B hsa:55800
SCX hsa:642658
SDC4 hsa:6385
SEC23IP hsa:11196
SEC24D hsa:9871
SELENBP1 hsa:8991
SELENOP hsa:6414
SEMA3B hsa:7869
SEPTIN10 hsa:151011
SEPTIN3 hsa:55964
SERF1B hsa:728492
SERINC2 hsa:347735
SERP2 hsa:387923
SERPINF1 hsa:5176
SERPING1 hsa:710
SERPINI1 hsa:5274
SERTM1 hsa:400120
SEZ6L2 hsa:26470
SFRP2 hsa:6423
SGIP1 hsa:84251
SH2D3C hsa:10044
SH3BP1 hsa:23616
SH3D19 hsa:152503
SH3GL2 hsa:6456
SH3GL3 hsa:6457
SHANK2 hsa:22941
SHBG hsa:6462
SHISA5 hsa:51246
SHISA9 hsa:729993
SHOX2 hsa:6474
SHQ1 hsa:55164
SIK1B hsa:102724428
SIK1B hsa:150094
SIX1 hsa:6495
SKIV2L hsa:6499
SKOR1 hsa:390598
SKOR2 hsa:652991
SKP2 hsa:6502
SLC12A5 hsa:57468
SLC1A3 hsa:6507
SLC1A5 hsa:6510
SLC24A3 hsa:57419
SLC25A25 hsa:114789
SLC25A4 hsa:291
SLC2A1 hsa:6513
SLC2A13 hsa:114134
SLC2A4RG hsa:56731
SLC32A1 hsa:140679
SLC39A5 hsa:283375
SLC40A1 hsa:30061
SLC4A2 hsa:6522
SLC4A3 hsa:6508
SLC5A9 hsa:200010
SLC6A17 hsa:388662
SLC9A3R1 hsa:9368
SLIT3 hsa:6585
SLIT3 hsa:6586
SLX1A hsa:548593
SLX1B hsa:79008
SMAD3 hsa:4088
