CRTAC1	hsa:55118
NET1	hsa:55119
SHQ1	hsa:55164
PPP2R1B	hsa:5519
EVA1B	hsa:55194
LGI2	hsa:55203
BBS7	hsa:55212
PPP2R2C	hsa:5522
KLHDC8A	hsa:55220
PPP2R5B	hsa:5526
CCN1	hsa:5530
RFK	hsa:55312
MIS18BP1	hsa:55320
HJURP	hsa:55355
IMPACT	hsa:55364
PIDD1	hsa:55367
ANKRD30BL	hsa:554226
HIST2H4B	hsa:554313
DNAJA4	hsa:55466
TNFRSF19	hsa:55504
ENOSF1	hsa:55556
CHD7	hsa:55636
NLRP2	hsa:55655
NDC1	hsa:55706
TENM3	hsa:55714
PRKCA	hsa:5578
RIOK2	hsa:55781
PRKCB	hsa:5579
CACNA2D3	hsa:55799
SCN3B	hsa:55800
BEX1	hsa:55859
WSB2	hsa:55884
SEPTIN3	hsa:55964
CFC1	hsa:55997
PDGFC	hsa:56034
PCDHGB7	hsa:56099
PCDHGB6	hsa:56100
ME3	hsa:56110
PCDHA12	hsa:56137
PCDHA4	hsa:56144
DNAJC12	hsa:56521
KCNK12	hsa:56660
NRIP3	hsa:56675
SLC2A4RG	hsa:56731
TCEAL7	hsa:56849
CELF4	hsa:56853
MDM1	hsa:56890
PAK6	hsa:56924
OLFML3	hsa:56944
LHX9	hsa:56956
FAM20C	hsa:56975
ADAMTS9	hsa:56999
TWSG1	hsa:57045
PNPLA2	hsa:57104
NUP107	hsa:57122
CD248	hsa:57124
ATP13A1	hsa:57130
TMEM159	hsa:57146
VARS2	hsa:57176
NHSL1	hsa:57224
PTCH1	hsa:5727
PTGDS	hsa:5730
RCN3	hsa:57333
JPH3	hsa:57338
TTYH1	hsa:57348
NMRAL1	hsa:57407
SLC24A3	hsa:57419
PTH1R	hsa:5745
GATAD2B	hsa:57459
SLC12A5	hsa:57468
GRAMD1B	hsa:57476
CASKIN1	hsa:57524
PTK7	hsa:5754
LRRC7	hsa:57554
DOCK6	hsa:57572
TRMT9B	hsa:57604
FAM234B	hsa:57613
LRRN1	hsa:57633
PTN	hsa:5764
ZSWIM5	hsa:57643
USP28	hsa:57646
PHRF1	hsa:57661
CACHD1	hsa:57685
IGDCC4	hsa:57722
SPTBN4	hsa:57731
PTPN13	hsa:5783
PTPRD	hsa:5789
PTPRG	hsa:5793
PTPRH	hsa:5794
PTPRN	hsa:5798
PTPRO	hsa:5800
