PAG1	hsa:55824
ITFG2	hsa:55846
GSDMB	hsa:55876
THSD1	hsa:55901
PRKDC	hsa:5591
FAM212B	hsa:55924
NXF3	hsa:56000
NXF2	hsa:56001
MAP2K2	hsa:5605
PCDHGB7	hsa:56099
PCDHGB5	hsa:56101
PCDHGA11	hsa:56105
PCDHGA5	hsa:56110
PCDHB13	hsa:56123
RNF17	hsa:56163
PRL	hsa:5617
PRODH	hsa:5625
CTNNBL1	hsa:56259
PRMT8	hsa:56341
LGMN	hsa:5641
KLK10	hsa:5655
TMPRSS3	hsa:56649
MUC13	hsa:56667
PSMA7	hsa:5688
OTOR	hsa:56914
MCCC1	hsa:56922
COQ8A	hsa:56997
CCNL1	hsa:57018
RPN1	hsa:5708
PSMD4	hsa:5710
REXO4	hsa:57109
TRPC7	hsa:57113
SLC44A2	hsa:57153
TRIM54	hsa:57159
VARS2	hsa:57176
FAM219B	hsa:57184
PSMD13	hsa:5719
PSME2	hsa:5721
ARFGEF3	hsa:57221
LYRM2	hsa:57226
NLN	hsa:57486
KIAA1257	hsa:57501
ALPK3	hsa:57538
PTK7	hsa:5754
KLHL42	hsa:57542
PDP2	hsa:57546
BEND3	hsa:57673
CHD8	hsa:57680
DENND1A	hsa:57706
WDR19	hsa:57728
SCUBE2	hsa:57758
SUGP1	hsa:57794
PVR	hsa:5817
PWP2	hsa:5822
BBS4	hsa:585
DMRT3	hsa:58524
QARS	hsa:5859
RAB3IL1	hsa:5866
RAD51D	hsa:5892
PLEKHA1	hsa:59338
SENP2	hsa:59343
RDH5	hsa:5959
TRIM27	hsa:5987
GPBP1L1	hsa:60313
C14orf93	hsa:60686
ROBO2	hsa:6092
RPL3	hsa:6122
RPL4	hsa:6124
RPL6	hsa:6128
RPL9	hsa:6133
RPL10	hsa:6134
RPL11	hsa:6135
RPL10	hsa:6138
RPL23	hsa:6139
RPL18	hsa:6141
RPL23	hsa:6150
RPL24	hsa:6152
RPL31	hsa:6160
RPL35A	hsa:6165
RPL37	hsa:6167
RPL37A	hsa:6168
RPL38	hsa:6169
RPN1	hsa:6184
RPS6KA3	hsa:6197
RPS8	hsa:6202
RPS11	hsa:6205
RPS14	hsa:6208
RPS15A	hsa:6210
RPS16	hsa:6217
RPS27	hsa:6232
CFB	hsa:629
VPS52	hsa:6293
SAG	hsa:6295
SALL2	hsa:6297
ATXN1	hsa:6310
CEACAM1	hsa:634
CCL25	hsa:6370
XCL1	hsa:6375
SDHA	hsa:6389
THADA	hsa:63892
PIEZO2	hsa:63895
NSUN3	hsa:63899
DMRTA1	hsa:63951
TMEM91	hsa:641649
SETMAR	hsa:6419
MMS19	hsa:64210
TRIM64B	hsa:642446
RAD21L1	hsa:642636
NPIPA1	hsa:642799
SRSF5	hsa:6430
NFKBIZ	hsa:64332
TTC31	hsa:64427
SGCD	hsa:6444
SGSH	hsa:6448
CCNI2	hsa:645121
CSRNP1	hsa:64651
TMPRSS3	hsa:64699
GOLGA6L10	hsa:647042
SRGAP2B	hsa:647135
METTL17	hsa:64745
CRTC3	hsa:64784
MRPS15	hsa:64960
MRPS5	hsa:64969
MRPL27	hsa:64975
SKIV2L	hsa:6499
RAPH1	hsa:65059
VPS33A	hsa:65082
KRI1	hsa:65095
SLC2A2	hsa:6514
SLC5A4	hsa:6527
SLC6A6	hsa:6533
FOXD4L6	hsa:653404
SRGAP2C	hsa:653464
SLC7A1	hsa:6541
IQCJ	hsa:654502
SLC15A1	hsa:6564
SMARCA4	hsa:6597
MTMR9	hsa:66036
SMN1	hsa:6606
SMPD1	hsa:6609
SOAT1	hsa:6646
HGF	hsa:6654
SOX10	hsa:6663
SSFA2	hsa:6744
STAT4	hsa:6775
SULT1A3	hsa:6818
SLC7A11	hsa:682
SUPV3L1	hsa:6832
TACC1	hsa:6867
TADA2A	hsa:6871
TAF12	hsa:6883
CNTN2	hsa:6900
TAZ	hsa:6901
TBCD	hsa:6904
TCF21	hsa:6943
TDGF1	hsa:6997
TDO2	hsa:6999
TEF	hsa:7008
TEK	hsa:7010
TGFBR3	hsa:7049
THBS4	hsa:7060
TLR5	hsa:7100
TM4SF4	hsa:7104
TNFAIP2	hsa:7127
TNNT2	hsa:7139
TPR	hsa:7175
C3	hsa:718
TRHR	hsa:7201
TRPC5	hsa:7224
TRPC6	hsa:7225
TRPC7	hsa:7226
TTC1	hsa:7265
DNAJC7	hsa:7266
C5	hsa:727
FAM156B	hsa:727866
TUBB	hsa:7280
NPIPB6	hsa:728741
TULP2	hsa:7288
TNFSF4	hsa:7292
SFTPA2	hsa:729238
TRIM49D1	hsa:729384
TXNRD1	hsa:7296
TBC1D3C	hsa:729873
C7	hsa:730
UBE2G2	hsa:7327
SENP2	hsa:7341
VARS2	hsa:7407
VEGFC	hsa:7424
VWF	hsa:7450
WNT3	hsa:7473
CA3	hsa:761
ZNF133	hsa:7692
ZNF141	hsa:7700
ZNF165	hsa:7718
ZSCAN9	hsa:7746
ZNF208	hsa:7757
LRP8	hsa:7804
ALMS1	hsa:7840
OTUB2	hsa:78990
PRR14	hsa:78994
ZNF655	hsa:79027
LBHD1	hsa:79081
SMIM7	hsa:79086
C1orf116	hsa:79098
BAG6	hsa:7917
GPANK1	hsa:7918
DDX39B	hsa:7919
ABHD16A	hsa:7920
HSD17B8	hsa:7923
BHLHE41	hsa:79365
C1orf54	hsa:79630
MCPH1	hsa:79648
BEND5	hsa:79656
HSPBAP1	hsa:79663
FASTKD1	hsa:79675
RTL10	hsa:79680
ZYG11B	hsa:79699
CLIP4	hsa:79745
ZNF750	hsa:79755
SLTM	hsa:79811
CATSPERB	hsa:79820
PEAK1	hsa:79834
TMC5	hsa:79838
ZBTB3	hsa:79842
CFAP69	hsa:79846
RPP21	hsa:79897
NUP85	hsa:79902
TMC7	hsa:79905
SETD6	hsa:79918
NANOG	hsa:79923
ATAT1	hsa:79969
GRHL2	hsa:79977
DNAJB14	hsa:79982
C10orf88	hsa:80007
SLC8B1	hsa:80024
ZFP2	hsa:80108
FRAS1	hsa:80144
SPSB1	hsa:80176
RUBCNL	hsa:80183
FHOD3	hsa:80206
ALPK1	hsa:80216
ACSF2	hsa:80221
TARS2	hsa:80222
NUBPL	hsa:80224
PAAF1	hsa:80227
RUFY1	hsa:80230
CDK5RAP3	hsa:80279
MTERF2	hsa:80298
FLAD1	hsa:80308
LRRC27	hsa:80313
CCDC68	hsa:80323
TRAF3IP3	hsa:80342
COASY	hsa:80347
ADAM12	hsa:8038
FOSL1	hsa:8061
SLC44A4	hsa:80736
FGF23	hsa:8074
PRR3	hsa:80742
SETD7	hsa:80854
AAAS	hsa:8086
EGFL8	hsa:80864
COLEC12	hsa:81035
PABPN1	hsa:8106
DPF3	hsa:8110
SLC7A5	hsa:8140
SLC38A1	hsa:81539
YIPF5	hsa:81555
MAGED4B	hsa:81557
LMAN2L	hsa:81562
PDRG1	hsa:81572
AKAP1	hsa:8165
MADCAM1	hsa:8174
ISG20L2	hsa:81875
LAS1L	hsa:81887
SLC25A28	hsa:81894
NAA10	hsa:8260
HIST1H2AI	hsa:8329
