"","GeneFeature","X10_3651","X13_4506B","X16_9319","X19_9429_6120","X26_2038A","X28_2038B","X2_BJ2A","X31_1792A","X34_1792E","X39_1835_3","X43_2497B","X7_3440","FoldChange","p.value"
"18077","SCN1B",55,48,36,30,24,19,27,24,36,31,11,37,0.622317596566524,0.027700266360792
"18083","SCN4B",713,1670,1443,176,180,468,1174,185,254,448,31,807,0.26174160120341,0.019467013769699
"18097","SCPEP1",637,304,268,634,690,519,417,547,526,873,838,320,1.54767441860465,0.031738976615402
"18118","SDC3",22256,27770,35411,13713,18226,19975,44584,14407,14300,13821,8121,21063,0.539148164104929,0.03734603358024
"18196","SEMA3A",6857,6064,6424,3937,3569,4182,6039,4930,4281,3048,2416,6839,0.620188053097345,0.00285614356278617
"18204","SEMA4B",2598,2488,2884,1974,1500,2152,2428,1657,1867,1452,1103,2110,0.671937577682641,0.0027459208492106
"18249","SEPW1",6001,4208,5385,4296,3669,4090,4880,3504,4159,3788,3139,3957,0.777978904863021,0.0199435793359808
"18278","SERPINB1",73,34,9,62,94,84,94,90,66,79,146,15,1.94773519163763,0.0302837049607806
"18307","SESN1",1163,989,907,1058,1086,1325,876,1178,1192,1251,1047,942,1.1927548441449,0.0102399175415774
"18326","SEZ6",6682,9757,8443,2694,3058,5261,7774,3522,3216,1750,915,5441,0.434458581549852,0.0115935059748633
"18365","SFXN5",3802,4339,3815,2603,2688,2754,4256,1577,1959,2900,2054,2600,0.650572028951669,0.0105625480564322
"18380","SGMS1",596,526,526,377,322,391,557,438,397,402,368,456,0.763001974983542,0.0112503649163911
"18402","SH2D4B",9,4,3,15,1,2,8,4,3,2,2,7,0.304347826086957,0.0271915766799218
"18411","SH3BP2",2264,1761,1759,1626,1522,1456,1848,1351,1355,1590,1436,1347,0.821310702498821,0.0492348743858265
"18420","SH3GL2",762,401,1160,533,208,243,411,459,320,26,24,635,0.328036904151717,0.0117773450819189
"18469","SHROOM3",4587,2548,1995,3946,5368,3826,2827,3348,3708,4388,5068,2228,1.41779273068226,0.0402212553468545
"18504","SIPA1L2",5162,2810,2339,3969,5720,3499,3120,4964,4846,9821,5409,2408,1.72955371567044,0.0425855322751126
"18505","SIPA1L3",2643,2492,2623,2049,1924,1955,3002,1704,1828,1967,1521,1727,0.749793615850303,0.021408416206621
"18532","SKIL",729,285,383,667,1042,877,788,679,829,1328,937,576,1.66044340723454,0.0113172494937208
"18575","SLC15A2",237,866,1324,179,238,600,1180,151,116,160,103,836,0.295975768065772,0.0372870688741991
"18598","SLC17A6",734,235,546,722,248,269,532,62,311,86,36,547,0.30518697225573,0.00204187496602247
"18609","SLC1A2",2094,2463,2333,2108,949,1101,1007,1001,1524,1298,825,1373,0.588679908595535,0.0194492193183079
"18610","SLC1A3",17226,26919,37269,6272,4652,11518,27543,11077,6880,9980,5400,21647,0.361692334667875,0.0181378968146183
"18666","SLC25A24",910,497,654,1055,1550,861,574,899,1173,1296,2100,361,1.94495186373735,0.018969920691799
"18689","SLC25A45",51,66,111,54,50,69,63,48,38,27,36,78,0.633569739952719,0.0411642751426636
"18791","SLC38A3",192,372,652,198,94,163,330,98,187,94,148,209,0.401433691756272,0.0422495709969436
"18816","SLC41A2",118,83,125,100,85,87,99,75,81,67,74,111,0.737421383647799,0.00450356836422776
"18826","SLC45A1",374,261,303,240,132,191,331,271,225,129,141,219,0.630208333333333,0.0101828632875066
"18837","SLC4A10",164,64,126,91,55,86,131,71,130,76,35,142,0.63091922005571,0.0497776985157712
"18841","SLC4A3",2132,1588,1639,1847,1585,1598,1583,1109,1427,1262,1002,1368,0.785960421384267,0.0342625579830993
"18842","SLC4A4",885,2150,3921,531,390,770,2515,702,438,1176,244,2204,0.304768146813043,0.035078342321704
"18860","SLC6A1",761,1538,2529,675,320,1109,4454,481,800,184,91,1922,0.251283778095799,0.0482680761217251
"18866","SLC6A15",576,142,257,560,564,561,468,672,672,818,526,298,1.65710560625815,0.0171379427613643
"18879","SLC6A9",3959,6868,8183,2214,2317,5118,6250,4340,3443,790,1370,5533,0.526494379980004,0.0426758199253439
"18894","SLC7A8",107,44,15,103,418,86,77,74,102,342,400,23,3.85365853658537,0.0484859252551866
