PCOLCE hsa:5118
PCSK1N hsa:27344
PDCD1LG2 hsa:80380
PDE1B hsa:5153
PDE3A hsa:5139
PDGFA hsa:5154
PDGFB hsa:5155
PDGFRB hsa:5159
PDLIM4 hsa:8572
PEA15 hsa:8682
PECAM1 hsa:5175
PEG3 hsa:5178
PERP hsa:64065
PHLDA2 hsa:7262
PHLDB2 hsa:90102
PHYHIPL hsa:84457
PI4KAP1 ---
PIK3R1 hsa:5295
PIM1 hsa:5292
PIM1 hsa:9361
PITPNM3 hsa:83394
PITX2 hsa:5308
PLAGL1 hsa:5325
PLAU hsa:5328
PLAUR hsa:5329
PLCD3 hsa:113026
PLCE1 hsa:51196
PLCG2 hsa:5336
PLK1 hsa:5347
PLK2 hsa:10769
PLOD2 hsa:5352
PLP2 hsa:5355
PLS3 hsa:5358
PLXND1 hsa:23129
PMEPA1 hsa:56937
PMP2 hsa:5375
POSTN hsa:10631
PPAP2B hsa:8613
PPP1R1A hsa:5502
PRDM12 hsa:59335
PRDM8 hsa:56978
PRICKLE1 hsa:144165
PRKCA hsa:5578
PROCR hsa:10544
PRRX1 hsa:5396
PRSS23 hsa:11098
PRTG hsa:283659
PRUNE2 hsa:158471
PSMD5 hsa:5711
PTCHD1 hsa:139411
PTGS2 hsa:5743
PTH1R hsa:5745
PTPN3 hsa:5774
PTPRE hsa:5791
PTPRU hsa:10076
PTPRZ1 hsa:5803
RAB6B hsa:51560
RAI14 hsa:26064
RAP1GAP hsa:5909
RAPGEF4 hsa:11069
RAPH1 hsa:65059
RBMS1 hsa:5937
RCN3 hsa:11123
RCN3 hsa:57333
REC8 hsa:9985
RGMA hsa:56963
RGS1 hsa:5996
RGS10 hsa:6001
RGS5 hsa:8490
RGS6 hsa:9628
RHBDF2 hsa:79651
RHOB hsa:388
RHOU hsa:58480
RIN3 hsa:79890
RNASEL hsa:6041
RNF135 hsa:84282
ROBO2 hsa:6092
RPE65 hsa:6121
RPH3A hsa:22895
RPLP0P2 ---
S100A11 hsa:6282
S100A4 hsa:6275
S100B hsa:6285
SCARA3 hsa:51435
SCD5 hsa:79966
SCG2 hsa:4221
SCG2 hsa:7857
SCGN hsa:10590
SCN4B hsa:6330
SDC1 hsa:6382
SDC2 hsa:6383
SDC3 hsa:9672
SDPR hsa:8436
SEMA3A hsa:10371
SEMA3G hsa:56920
SEMA4B hsa:10509
SEMA6A hsa:57556
SEMA7A hsa:8482
SERPINA3 hsa:12
SERPINE1 hsa:5054
SERPINE2 hsa:5270
SERPINF1 hsa:5176
SEZ6 hsa:124925
SEZ6L hsa:23544
SFRP2 hsa:6423
SFRP4 hsa:6424
SFTA1P ---
SFXN5 hsa:94097
SGCD hsa:6444
SH3GL2 hsa:6456
SH3RF3 hsa:344558
SHC1 hsa:6464
SHISA4 hsa:149345
SHISA6 hsa:388336
SIPA1L2 hsa:57568
SIX1 hsa:6495
SIX2 hsa:10736
SLAMF8 hsa:56833
SLC15A2 hsa:6565
SLC16A3 hsa:9123
SLC17A6 hsa:57084
SLC1A2 hsa:6506
SLC1A3 hsa:6507
SLC1A5 hsa:6510
SLC22A15 hsa:55356
SLC24A4 hsa:123041
SLC25A24 hsa:29957
SLC27A1 hsa:376497
SLC27A3 hsa:11000
SLC2A3 hsa:6515
SLC38A3 hsa:10991
SLC39A12 hsa:221074
SLC39A14 hsa:23516
SLC4A4 hsa:8671
SLC6A1 hsa:6529
SLC6A11 hsa:6538
SLC6A9 hsa:6536
SLC7A11 hsa:23657
SLC7A11 hsa:682
SLC7A5 hsa:8140
SLC7A7 hsa:9056
SLC7A8 hsa:23428
SLFN11 hsa:91607
SLFN12 hsa:55106
SLFN5 hsa:162394
SLIT1 hsa:6585
SLIT1 hsa:6586
SMARCD3 hsa:6604
SMOC1 hsa:64093
SNAI2 hsa:6591
SNTG2 hsa:54221
SOCS2 hsa:8835
SOCS3 hsa:9021
SORL1 hsa:6653
SOSTDC1 hsa:25928
SOX6 hsa:55553
SOX8 hsa:30812
SOX9 hsa:6662
SP100 hsa:6672
SPATA6 hsa:54558
SPHK1 hsa:8877
SPINT1 hsa:6692
SPOCK1 hsa:6695
SPOCK2 hsa:9806
SPON1 hsa:10418
SPTB hsa:6710
SRPX2 hsa:27286
SSC5D hsa:284297
SSTR1 hsa:6751
ST6GALNAC5 hsa:81849
ST8SIA3 hsa:51046
ST8SIA5 hsa:29906
STAT6 hsa:6778
STC2 hsa:8614
STIM2 hsa:57620
STK17A hsa:9263
STK17B hsa:9262
STMN4 hsa:81551
STRA6 hsa:64220
SV2A hsa:9900
SYT12 hsa:23208
SYT12 hsa:91683
TAGLN hsa:6876
TBL1Y hsa:90665
TBX15 hsa:6913
TBX18 hsa:9096
TC2N hsa:123036
TCF7L2 hsa:6934
TEK hsa:7010
TES hsa:26136
TFAP2C hsa:7022
TFRC hsa:7037
TGFBI hsa:7045
TGM2 hsa:7052
THBS1 hsa:7057
THBS2 hsa:7058
THSD1 hsa:55901
THSD4 hsa:79875
TIMP4 hsa:7079
TLL2 hsa:7093
TLR6 hsa:10333
TMBIM1 hsa:64114
TMC6 hsa:11322
TMCO4 hsa:255104
TMEM132A hsa:54972
TMEM132E hsa:124842
TMEM173 hsa:340061
TMEM231 hsa:79583
TMEM59L hsa:25789
TMOD2 hsa:29767
TNFAIP6 hsa:7130
TNFRSF10D hsa:8793
TNFRSF19 hsa:55504
TNFSF15 hsa:9966
TNFSF4 hsa:7292
TNNI1 hsa:7135
TPM1 hsa:7168
TPM2 hsa:7169
TRIB3 hsa:57761
TRIL hsa:9865
TRIM38 hsa:10475
TRIM47 hsa:91107
TRIM48 hsa:79097
TRIM9 hsa:114088
TRPV4 hsa:59341
TSPAN12 hsa:23554
TSPAN18 hsa:90139
TSPAN7 hsa:7102
TTK hsa:7272
TTYH2 hsa:94015
TUBA1C hsa:84790
TUBB2A hsa:7280
UBE2C hsa:11065
UNC5B hsa:219699
UNC5C hsa:8633
UNC80 hsa:285175
USP44 hsa:84101
VAV3 hsa:10451
VDR hsa:1594
VDR hsa:7421
VGLL3 hsa:389136
VRK2 hsa:7444
VRTN hsa:55237
VSTM4 hsa:196740
VWA5A hsa:4013
WISP1 hsa:8840
WNT5A hsa:7474
WNT7B hsa:7477
WSCD1 hsa:23302
WWP1 hsa:11059
XAF1 hsa:54739
XIST ---
XPNPEP2 hsa:7512
ZCCHC24 hsa:219654
ZIC2 hsa:7546
