MST4	hsa:51765
PEG3	hsa:5178
SERPINE2	hsa:5270
PIM1	hsa:5292
PIK3R1	hsa:5295
PITX2	hsa:5308
PLAGL1	hsa:5325
PLAU	hsa:5328
PLAUR	hsa:5329
PLCG2	hsa:5336
PLK1	hsa:5347
PLOD2	hsa:5352
PLP2	hsa:5355
PLS3	hsa:5358
PMP2	hsa:5375
FXYD6	hsa:53826
PRRX1	hsa:5396
SNTG2	hsa:54221
CYTL1	hsa:54360
NLGN3	hsa:54413
FAM134B	hsa:54463
SPATA6	hsa:54558
L1TD1	hsa:54596
FEV	hsa:54738
XAF1	hsa:54739
BNC2	hsa:54796
ELOVL2	hsa:54898
DUSP23	hsa:54935
TMEM132A	hsa:54972
HRASLS2	hsa:54979
ACPP	hsa:55
PPP1R1A	hsa:5502
MOCOS	hsa:55034
KIF26B	hsa:55083
SLFN12	hsa:55106
FIGN	hsa:55137
CDCA8	hsa:55143
KLHDC8A	hsa:55220
VRTN	hsa:55237
C4orf19	hsa:55286
SLC22A15	hsa:55356
TNFRSF19	hsa:55504
SOX6	hsa:55553
PRKCA	hsa:5578
MCTP2	hsa:55784
CSGALNACT1	hsa:55790
PAG1	hsa:55824
PAK1	hsa:5585
THSD1	hsa:55901
C1orf183	hsa:55924
MYO5C	hsa:55930
MAPK4	hsa:5596
PCDHGB7	hsa:56099
PCDHGB5	hsa:56101
PCDHGA10	hsa:56106
PCDHGA7	hsa:56108
PCDHGA3	hsa:56112
APC	hsa:5624
C21orf62	hsa:56245
MASP1	hsa:5648
KCNK13	hsa:56659
NRIP3	hsa:56675
SLAMF8	hsa:56833
NDUFA4L2	hsa:56901
SEMA3G	hsa:56920
PMEPA1	hsa:56937
OLFML3	hsa:56944
RGMA	hsa:56963
PRDM8	hsa:56978
CXCR7	hsa:57007
SLC17A6	hsa:57084
PSMD5	hsa:5711
CD248	hsa:57124
KIAA1199	hsa:57214
RCN3	hsa:57333
JPH3	hsa:57338
PTGS2	hsa:5743
PTH1R	hsa:5745
BAI1	hsa:575
GPR158	hsa:57512
SEMA6A	hsa:57556
SIPA1L2	hsa:57568
PCDH10	hsa:57575
BAI2	hsa:576
STIM2	hsa:57620
MYH14	hsa:57644
CPNE5	hsa:57699
PTPN3	hsa:5774
TRIB3	hsa:57761
CADM3	hsa:57863
PTPRE	hsa:5791
PTPRZ1	hsa:5803
RHOU	hsa:58480
ACTA2	hsa:59
RAP1GAP	hsa:5909
C21orf63	hsa:59271
CACNG8	hsa:59283
PRDM12	hsa:59335
TRPV4	hsa:59341
LGR6	hsa:59352
RBMS1	hsa:5937
RGS1	hsa:5996
RGS10	hsa:6001
BCL3	hsa:602
RNASEL	hsa:6041
ALX4	hsa:60529
ROBO2	hsa:6092
RPE65	hsa:6121
S100A4	hsa:6275
S100A11	hsa:6282
S100B	hsa:6285
CFB	hsa:629
BGN	hsa:633
SCN4B	hsa:6330
CXCL6	hsa:6372
SDC1	hsa:6382
BCAN	hsa:63827
SDC2	hsa:6383
NEUROD6	hsa:63974
PERP	hsa:64065
NPAS3	hsa:64067
SMOC1	hsa:64093
PARVG	hsa:64098
TMBIM1	hsa:64114
STRA6	hsa:64220
SFRP2	hsa:6423
SFRP4	hsa:6424
MMP25	hsa:64386
KLHL25	hsa:64410
SGCD	hsa:6444
CSMD1	hsa:64478
