"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"11664","ENSG00000165821",102.56,89.94,99.32,101.08,124.21,110.61,94.08,127.35,174.5,60.14,95.38,86.07,117.83,51.38,110.68,82.09,82.76,78.59,1.33824452230299,0.0215067191749662
"11711","ENSG00000166024",12.62,13.6,12.66,12.63,15.63,19.76,15.97,13.81,16.78,7.67,10.38,12.62,12.82,10.15,15.35,11.96,13.28,14.61,1.22620360161705,0.0281448705036956
"12119","ENSG00000167658",1041.32,1180.19,1008.25,1128.26,1302.07,1179.2,1144.64,1038.32,994.21,717.67,884.92,1076.1,1013.76,779.77,1047.21,890.67,944.51,1040.97,1.19306349293319,0.00423652436114713
"12216","ENSG00000168000",131.41,208.2,188.5,80.15,155.87,198.67,159.18,198.85,126.07,274.43,192.73,249.13,185.02,193.61,118.48,253.16,231.42,182.07,0.769607191298104,0.03880753688123
"12272","ENSG00000168246",76.79,69.59,65.44,102.8,82.04,67.94,56.55,75.16,77.17,45.89,66.64,57.34,67.65,62.25,72.96,56.89,55.46,62.51,1.22989828156102,0.0159988155967284
"12395","ENSG00000168769",24.71,24.53,28.42,25.99,29.38,8.94,20.69,24.15,20.8,11.78,17.62,17.86,17.99,15.13,21.57,18.14,19.97,20.63,1.29199078971934,0.0394660028443314
"12406","ENSG00000168807",6.8,6.2,6.62,10.08,6.14,5.27,8.72,7.03,10.44,5.55,5.49,4.92,6.51,4.7,7.17,4.38,6.86,6.78,1.28533231474408,0.0345693110884518
"12416","ENSG00000168852",3.79,4.82,4.61,1.28,3.11,2.51,3.45,4.46,1.88,3.22,3.49,1.75,1.54,0.95,0.83,3.35,1.21,2.15,1.61763115197404,0.0333563471853521
"12431","ENSG00000168907",0.41,0.2,0.32,0.36,0.52,0.23,0.27,0.22,0.23,0.03,0.13,0.22,0.26,0.03,0.12,0.37,0.11,0.2,1.87755102040816,0.0129569701499785
"12491","ENSG00000169155",8.73,13.75,16.6,10.53,19.19,11.09,16.31,12.1,8.83,12,8.54,8,9.24,7.92,9.14,12.71,10.38,11.34,1.3120869272992,0.0434071131911185
