GH10J003622	BCL11A||BHLHE40||SCRT1||JUND||BMI1||RAD21||CTCF||ATF2||SP1||PKNOX1||CREB1||ARID3A||TBL1XR1||IKZF2||RAD51||CREM||MTA2||YY1||TCF12||EP300||RUNX3||RELB||FOS||CEBPB||SCRT2||NR2F2
GH10J003632	EGR1||EGR2||FOS||ZFHX2
GH10J003920	TRIM28
GH10J003915	
GH10J003923	NCOR1||ZNF600||IKZF1||ZNF592||NFIC||HES1||BHLHE40||ZNF639||MBD2||TBP||ARNT||TAF9B||NBN||TAL1||MYNN||PRDM10||ATF1||STAT5A||IRF9||ZNF318||SMARCA4||ZNF189||FOXM1||INSM2||HDAC2||NCOA1||ZSCAN23||EP400||FOXK2||ZEB2||JUND||TCF12||MTA2||ATF4||TEAD4||SP7||L3MBTL2||MEIS2||HDAC1||DPF2||ARID1B||NR2C1||CEBPB||NCOA6||SMARCE1||TBL1XR1||KDM1A||ATF3||ZSCAN21||ZNF629||ZNF660||DACH1||CBFA2T2||OSR2||DDX20||ZNF24||GTF2F1||PATZ1||RNF2||TRIM24||CTBP1||SOX6||NFRKB||ATF2||EP300||NR4A1||MTA3||BCOR||ATF7||LEF1||GATAD2A||MNT||ZSCAN29||FOS||CC2D1A||BRD9||AFF1||CBFA2T3||EGR1||HIC1||PML||MTA1||NR2F1||MGA||PHB2||ZNF184||CEBPG
GH10J003641	
GH10J003885	SP1||NCOR1||IKZF1||JUND||ZNF592||ATF2||CEBPA||ATF3||POLR2A||YY1||BCL11A||CEBPB||REST||KLF11||HOMEZ||ZNF217||ARNT||RAD51||EP300||THAP11||FOXA2||KDM6A||MAFF||SMAD4||RXRA||SAP130||ETV4||MIER3||ELF1||RARA||STAT3||GABPB1||DMAP1||ZNF316||TEAD3||NUFIP1||EBF1||THRB||SMARCA5||KAT7||FOSL2||NFE2||RELA||RAD21||CREM||TAL1||FOXP1||MAFK||DRAP1||MBD1||BCL6||PRDM10||ZNF205||KDM1A||STAT5A||IRF9||SOX5||SMARCE1||ETV1||BATF||NCOA1||HNF4A||TBX3||EP400||HMG20A||FOXA1||FOXK2||TAF1||EGR1||RBPJ||DIDO1||CAVIN1||RFX5||HMG20B||ATF4||TAF7||NR2F6||MTA3||LCORL||TFAP4||GATA4||JUNB||HDAC2||TOE1||HDAC8||BHLHE40||ELF3||IKZF5||RXRB||CEBPG||L3MBTL2||KLF1||TCF12||ZFP36||MEIS2||NFIA||ZMYM3||ATF1||HDAC1||JUN||PYGO2||ELK1||DPF2||ARID4B||ARID1B||PKNOX1||KDM3A||ARID3A||TEAD2||CREB1||NR2C1||HNF1A||ZNF184||ZNF644||SOX13||PPARG||ZNF366||NFIL3||ZNF384||ZNF507||ZNF687||HLF||TBL1XR1||PTTG1||MNT||MLLT1||MLX||TSC22D4||ZNF629||TGIF2||MIXL1||GATAD2A||SP5||NFKBIZ||DDX20||KLF16||TCF7||ZNF354B||FOS||IRF2||RNF2||IKZF2||USF2||TRIM24||CTBP1||MTA2||HDGF||SOX6||ZKSCAN8||KAT8||ZNF512||EED||NFRKB||ATF7||ETS1||RUNX3||ZHX2||NR4A1||ZNF24||ETV6||GTF2F1||ZNF740||LEF1||RCOR2||RERE||GTF2A2||MEF2D||FOXA3||ZGPAT||USF1||NR2F2||RELB||TFE3||AFF1||SIN3A||CBFA2T3||TEAD1||NR2F1||SMARCA4||MGA||EMSY||ERF
GH10J003676	ZBTB17||MLLT1
GH10J003960	
GH10J003962	
GH10J003592	NFE2||MAFG||ATF3||NFE2L2||CEBPG
GH10J003979	JUND
GH10J003978	
GH10J003976	
GH10J003977	JUND
GH10J003901	SP1||CEBPA||BCL11A||CEBPB||REST||ZNF592||TRIM22||FOXA2||KDM6A||MAFF||SMAD4||SAP130||IRF4||SMC3||RARA||TEAD3||ZSCAN9||SMARCA5||RAD21||FOXP1||MAFK||BCL6||TBP||BHLHE40||CTCF||SOX5||BATF||ELF1||HMG20A||STAT5A||IKZF1||GATAD1||ZNF48||BMI1||RB1||HDGF||NR2F1||TCF7||ZNF792||ATF2||JUNB||BACH1||RFX1||NR2F6||ELF3||RXRB||CEBPG||TCF12||NFIA||ZBED1||ARID4B||PKNOX1||ARID3A||KLF5||ZNF384||TARDBP||TBL1XR1||ZNF687||IKZF2||RAD51||CREM||MTA2||KAT8||ZKSCAN8||ZNF512||ZBTB33||EED||SOX13||CREB1||DPF2||RUNX3||ETV6||RNF2||ARNT||ZBTB40||FOXA3||ZGPAT||NR2F2||TFE3||RELB||RFX3||FOS||EP300||AFF1||ZBTB25||TEAD1||MLLT1||ERF
GH10J003667	MYC||NCOR1||IKZF1||CEBPA||NFIC||CEBPB||MBD2||TBP||ARNT||TAF9B||ELF1||CTBP1||PRDM1||NBN||TAL1||ZNF316||NFE2||MYNN||IRF9||MLLT1||ZNF318||ZNF217||SMARCA4||NFE2L2||FOXM1||HDAC2||NCOA1||MAFK||YBX1||ZNF384||FOXK2||MAFG||ZEB2||JUND||ZBTB33||EGR1||TCF12||RAD21||MTA2||MAFF||ATF4||DPF2||TAF7||NR2F6||POLR2A||TEAD4||CEBPG||L3MBTL2||HDAC1||ARID1B||CREM||NFATC3||GMEB1||TEAD2||SMARCE1||NFIL3||HLF||ATF1||TBL1XR1||KDM1A||ATF3||DACH1||CBFA2T2||KLF16||RNF2||TRIM24||ZNF24||ZBTB26||SOX6||ATF2||EP300||MTA3||BCOR||ATF7||LEF1||MNT||ZSCAN29||GATAD2B||AFF1||SP1||CBFA2T3||PML||MTA1||NR2F1||ZBTB2||EMSY
GH10J003666	GABPA||SPI1||ZNF512
GH10J003669	ZBTB33
GH10J003668	ZNF512
GH10J003951	
GH10J003952	
GH10J003942	JUND||SMARCA4||ZEB2||L3MBTL2||DPF2||ARID1B||ZNF366||POLR2A||ATF3||U2AF2||NFE2L2||ZNF512||EP300||FOS||CEBPB
GH10J004024	MAFF||ZNF316||NFE2||MAFK||NFE2L2||MAFG||ZBTB33||ATF2||ATF3||FOS||EMSY
GH10J003547	ZNF316||NFE2||MAFG||TCF12||MAFK||MAFF||NFE2L2||CBFA2T3||EMSY
GH10J004120	
GH10J004121	SP1
GH10J003446	JUND
GH10J003989	
GH10J003582	HLF||CEBPG
GH10J003986	SPI1||CHD2
GH10J004196	ZNF316||JUND||POLR2A||RAD21||EP300
GH10J003372	NR2F2
GH10J004198	ZNF660
GH10J004194	JUND||ATF3||KDM1A||CTBP1||GFI1B
GH10J004303	ZNF600||ATF2||JUND||MAFG||CREB1||ATF3||ATF7||KLF8
GH10J003267	
GH10J004304	
GH10J004300	
GH10J003268	MAFG||GABPB1||GABPA||SCRT2
GH10J003635	JUND||NFIC||ZNF146||POLR2A||EP300
GH10J003932	IRF2||IKZF1||NR4A1||CEBPG
GH10J003929	ZBTB33||MEIS2||ZNF366||ZNF512||RAD21||POLR2A
GH10J004066	FEZF1||NFE2||PRDM6||ZBTB48||SP7||CREB1||IKZF1||ZEB2||IKZF2||MZF1||PRDM10||NR2F2||CEBPB||HIC1||ZSCAN5C
GH10J003502	ZNF217||PKNOX1||ATF2||RFX1||TRIM28||CREB1||RFX5||FOS||ESRRA||POLR2A||BMI1||SREBF1
GH10J004065	
GH10J003980	
GH10J003981	
GH10J003263	RAD21||SP1||FOS||RFX1||NR2F2
GH10J004307	
