GH12J050174	
GH12J050185	SP1||ZNF600||CEBPA||JUND||BCL11A||ZNF592||TRIM22||HOMEZ||FOXA2||SMAD4||SAP130||IRF4||RARA||TEAD3||EBF1||CBFB||FOXP1||PRDM6||BCL6||BHLHE40||SOX5||BATF||HMG20A||SCRT1||ZNF24||IKZF1||BMI1||NFATC1||HDGF||LCORL||ATF2||TFAP4||JUNB||ELF3||RXRB||CEBPG||TCF12||MAFK||ZBED1||PKNOX1||ARID3A||ZNF644||ATM||NFIL3||POLR2A||HLF||TARDBP||RAD21||TBL1XR1||EGR2||GATAD2A||ZNF687||IKZF2||CREM||MTA2||KAT8||EED||SOX13||ZNF707||EP300||DPF2||NBN||RUNX3||RCOR2||ARNT||FOXA3||RELB||TFE3||CEBPB||ZFHX2||GATAD2B||PRDM1||SCRT2||MAZ||ERF
GH12J050151	PRDM6||ZNF366||PRDM10||HMBOX1||PRDM1
GH12J050184	
GH12J050200	JUND||ZNF580||BRCA1||ZIC2||CEBPB||EP300||CTBP1||RAD21||RFX5||MLLT1||SIN3A||ZFP91||ZNF217||SMARCE1||SCRT1||ZNF24||DPF2||POLR2A||SP1||MNT||CREB1||FOS||CHD2||ZNF592||SMARCA5||USF1||SCRT2||ZNF444
GH12J050134	ZNF398||ZSCAN4||ZNF169||CTCF||NR2F2||KLF17||PRDM1||WT1
GH12J050132	ZNF654||ZNF600||CTCF||FOXA2||CTBP1||RAD21||CUX1||RFX5||SMC3||NR2F6||NR2C1||ZNF660||ZNF24||ZNF512B||TRIM22||NR2F2||NR2F1||ZNF444
GH12J050199	
GH12J050125	
GH12J050208	
GH12J050206	YY1
GH12J050128	ATF2||POLR2A||HMBOX1
GH12J050130	POLR2A||RBM22
GH12J050195	ZNF600||ZNF10||JUND||ZSCAN16||FEZF1||ZNF843||BCL11B||PRDM6||ZNF189||INSM2||SCRT1||ZNF362||ZNF664||SP7||PRDM4||ZNF384||ZNF561||ZNF366||ZBTB8A||PKNOX1||ZEB2||ZNF692||OSR2||MYNN||GFI1B||BCL11A||KLF8||ZNF501||TSHZ1||EP300||OVOL3||HIC1||SCRT2||ZBTB44||ZSCAN5C
GH12J050191	FEZF1||SIX4||PRDM6||ZFP37||JUND||ZBTB33||ZNF362||BHLHE40||EP300||ZNF501||PRDM1
GH12J050209	REST||EP300||MAFF||RAD21||SMC3||STAT3||ZNF316||USF2||MAFK||ETV1||MAFG||ZBTB33||NFATC1||NR2F1||MEIS2||KLF1||CTCF||ZNF24||SPI1||RAD51||ZBTB6||POLR2A||NBN||PKNOX1||RUNX3||ZSCAN29||NR2F2||ZNF121||EMSY
GH12J050215	
GH12J050121	PRDM1
GH12J050217	MYC||ZNF600||IKZF1||JUND||ZNF580||ATF2||POLR2A||ZNF10||BRCA1||NONO||BCL11A||CEBPB||SMAD5||ELK1||ETS1||BHLHE40||FEZF1||ZNF639||SIX4||TBP||ZNF341||ZEB1||MNT||CTCF||MAX||ZNF217||SIN3A||ZNF513||ARNT||EP300||NFATC3||TAF9B||CTBP1||NBN||RAD21||CUX1||IRF4||RFX5||NKRF||SMC3||ELF1||STAT3||ZNF316||EBF1||CBFB||ZNF843||TCF7L2||USF2||FOSL2||ZFP91||KLF16||PRDM6||PRDM10||ZBTB48||MLLT1||SOX5||SUPT5H||ZNF2||ZNF189||SRF||ZBTB1||SMARCE1||PKNOX1||ETV1||FOXM1||INSM2||HDAC2||BATF||HNF4A||MAFK||ZSCAN23||EP400||ZNF24||FOXA1||SCRT1||MAFG||TAF1||STAT5A||ZBTB33||NFATC1||ZNF362||NR2F1||MAFF||ATF4||DPF2||RAD51||MTA3||ZNF518A||JUNB||STAT1||TOE1||ZC3H8||RFX1||ZBTB21||ZNF768||ZNF398||SP7||ZNF18||KLF1||L3MBTL2||PRDM4||LARP7||ZFP36||ZFP69B||ZMYM3||GATA2||HDAC1||JUN||TRIM28||PYGO2||ZNF561||GMEB1||KLF10||CREB1||GABPB1||ZNF785||ARID3A||ZNF366||ZBTB12||SP3||ZNF324||ZXDB||ZEB2||KDM1A||ATF3||ZSCAN21||ZNF629||ZNF692||ZNF660||SPI1||OSR2||GTF2F1||ZNF687||FOS||IKZF2||CHD2||MTA1||MYNN||CREM||MTA2||MZF1||ZBTB17||ZNF680||ZNF558||ZBTB6||EED||ATF7||SOX13||RUNX3||KLF8||BMI1||ZNF501||BACH1||LEF1||TSHZ1||POLR2B||CBX3||RELB||BRD9||ZBTB20||ZNF423||ZNF121||KLF17||HMBOX1||PRDM1||GATAD2B||HNRNPUL1||ZNF335||HIC1||PML||SCRT2||ZBTB44||ZSCAN5C||SMARCA4||MGA||EMSY||ZNF184||WT1
