GH09J019510	REST||CTCF||SMC3||YY1||TEAD3||RAD21||SPI1||ELF3||ZNF143||GABPA||ETV6
GH09J019553	
GH09J019585	
GH09J019527	
GH09J019572	MAFF||ZNF316||MAFK||MAFG||EMSY
GH09J019563	
GH09J019557	
GH09J019589	
GH09J019602	NFE2||ATF2||CREB1||CTBP1||ATF7
GH09J019686	JUND||ATF2||TAL1||TCF12||CREB1||ATF3||CBFA2T2||ATF7||CBFA2T3
GH09J019578	YY1||RAD21
GH09J019930	
GH09J019750	
GH09J019652	
GH09J019694	FOXA2
GH09J019941	MEIS2||PKNOX1
GH09J019939	EBF1||BHLHE40||IKZF1||SPI1||IKZF2||MTA2||DPF2||GATAD2B
GH09J019753	
GH09J019610	
GH09J020109	PRDM6||SP7||POU5F1||PKNOX1||NANOG
GH09J020116	SOX5||SOX13
GH09J019698	SP1||POU5F1||NANOG||KDM1A
GH09J019699	ATF2||CREB1||ATF7
GH09J019656	
GH09J019757	CEBPA||SPI1
GH09J020127	
GH09J020130	
GH09J019621	
GH09J019618	
GH09J019704	
GH09J019967	CTCF||SP1||POU5F1||RAD21||NANOG||USF1||CEBPB
GH09J020143	FEZF1||GLIS1||TRIM28||PKNOX1||ZNF335
GH09J019659	ATF3||FOS
GH09J019662	
GH09J019768	CTCF||FOS
GH09J019770	HLF
GH09J019975	FOS||ETV6
GH09J019709	
GH09J019625	PKNOX1||CTCF||EZH2
GH09J019627	EZH2
GH09J019774	
GH09J019776	
GH09J019988	
GH09J019666	
GH09J019664	
GH09J019991	JUND||BHLHE40
GH09J019716	
GH09J019780	RFX5||RFX1
GH09J020186	
GH09J020189	ZIC2||PKNOX1||RAD21||POLR2A
GH09J020190	CTCF||PKNOX1||RAD21
GH09J019997	BCLAF1||SP1||BCL11A||TARDBP||NR2C1||GABPA||IRF4||GABPB1||EBF1||CBFB||JUND||BATF||ELF1||STAT5A||IKZF1||NFATC1||NR2F1||MTA3||ATF2||JUNB||BACH1||TCF12||ZBED1||PKNOX1||ARID3A||TBL1XR1||IKZF2||CREM||MTA2||YY1||EED||EP300||DPF2||RUNX3||ETV6||ZBTB40||RELB||FOS||CEBPB
GH09J020197	JUND||CTCF||ATF2||JUN||ATF7||PRDM10
GH09J019630	SPI1
GH09J019785	
GH09J020200	GATA2||EZH2
GH09J019875	
GH09J020213	
GH09J020209	
GH09J020015	NANOG||SPI1
GH09J019795	NFE2||BACH1
GH09J019791	
GH09J020215	
GH09J020219	RXRA||HNF4A||SP1||HNF4G
GH09J020023	
GH09J020224	
GH09J020227	
GH09J019727	
GH09J019725	
GH09J019677	MEIS2||ATF3
GH09J020024	
GH09J020025	
GH09J020028	ZSCAN4
GH09J019797	
GH09J019636	ZNF512
GH09J019634	MAFK||GATA2||CHD2
GH09J019633	
GH09J020032	
