RNF8 hsa:9025
RNFT2 hsa:84900
ROBO2 hsa:6092
RPIA hsa:22934
RPL10 hsa:6134
RPL10 hsa:6138
RPL11 hsa:6135
RPL13A hsa:23521
RPL18 hsa:6141
RPL23 hsa:6139
RPL23 hsa:6150
RPL23 hsa:9349
RPL24 hsa:51187
RPL24 hsa:6152
RPL3 hsa:6122
RPL31 hsa:6160
RPL35A hsa:6165
RPL37 hsa:6167
RPL37A hsa:6168
RPL38 hsa:6169
RPL4 hsa:6124
RPL6 hsa:6128
RPL9 hsa:6133
RPN1 hsa:5708
RPN1 hsa:6184
RPP21 hsa:79897
RPS11 hsa:6205
RPS14 hsa:6208
RPS15A hsa:6210
RPS16 hsa:6217
RPS27 hsa:6232
RPS6KA3 hsa:6197
RPS6KA6 hsa:27330
RPS8 hsa:6202
RRH hsa:10692
RRP8 hsa:23378
RTL10 hsa:79680
RUBCNL hsa:80183
RUFY1 hsa:80230
RWDD2B hsa:10069
RYBP hsa:23429
SAG hsa:1755
SAG hsa:6295
SAG hsa:9616
SALL2 hsa:6297
SAMD4A hsa:23034
SAT2 hsa:112483
SAT2 hsa:54407
SAYSD1 hsa:55776
SCARA3 hsa:51435
SCEL hsa:8796
SCRN1 hsa:9805
SCUBE2 hsa:57758
SDE2 hsa:163859
SDHA hsa:6389
SDR42E1 hsa:93517
SEC24A hsa:10802
SEC24D hsa:9871
SEC31B hsa:25956
SEMA3E hsa:9723
SENP2 hsa:59343
SENP2 hsa:7341
SENP3 hsa:26168
SERGEF hsa:26297
SERPINB8 hsa:5271
SESTD1 hsa:91404
SETD6 hsa:79918
SETD7 hsa:80854
SETMAR hsa:6419
SFI1 hsa:9814
SFTPA2 hsa:729238
SFXN1 hsa:94081
SGCD hsa:6444
SGSH hsa:6448
SHE hsa:126669
SHISA2 hsa:387914
SIPA1L1 hsa:26037
SKAP2 hsa:8935
SKIV2L hsa:6499
SLC15A1 hsa:6564
SLC22A16 hsa:85413
SLC24A2 hsa:123041
SLC24A2 hsa:25769
SLC25A15 hsa:10166
SLC25A28 hsa:81894
SLC26A9 hsa:115019
SLC27A3 hsa:11000
SLC27A5 hsa:10998
SLC2A2 hsa:6514
SLC30A8 hsa:169026
SLC35A3 hsa:23443
SLC36A4 hsa:120103
SLC38A1 hsa:81539
SLC38A2 hsa:54407
SLC44A1 hsa:23446
SLC44A2 hsa:57153
SLC44A4 hsa:80736
SLC47A1 hsa:55244
SLC5A4 hsa:6527
SLC6A6 hsa:6533
SLC7A1 hsa:6541
SLC7A11 hsa:23657
SLC7A11 hsa:682
SLC7A3 hsa:84889
SLC7A5 hsa:8140
SLC8B1 hsa:80024
SLTM hsa:79811
SMARCA4 hsa:6597
SMCR8 hsa:140775
SMG1 hsa:23049
SMIM7 hsa:79086
SMN1 hsa:6606
SMPD1 hsa:6609
SNRNP200 hsa:23020
SNX19 hsa:399979
SOAT1 hsa:6646
SOCS7 hsa:122809
SOCS7 hsa:30837
SOST hsa:50964
SOX10 hsa:6663
SPATA7 hsa:55812
SPESP1 hsa:246777
SPINK5 hsa:11005
SPRED2 hsa:200734
SPSB1 hsa:80176
SPTLC3 hsa:55304
SRGAP2 hsa:23380
SRGAP2 hsa:9901
SRGAP2B hsa:647135
SRGAP2C hsa:653464
SRRM2 hsa:23524
SRRT hsa:51593
SRSF5 hsa:6430
SSFA2 hsa:6744
SSH1 hsa:54434
SSX7 hsa:280658
STAT4 hsa:6775
STYXL1 hsa:51657
SUGP1 hsa:57794
SULT1A3 hsa:6818
SUPV3L1 hsa:6832
SVBP hsa:374969
SYNPR hsa:132204
TACC1 hsa:6867
TACC2 hsa:10579
TADA2A hsa:6871
TAF12 hsa:6883
TAMM41 hsa:132001
TARS2 hsa:80222
TAZ hsa:25937
TAZ hsa:6901
TBC1D3C hsa:101060321
TBC1D3C hsa:414060
TBC1D3C hsa:729873
TBC1D3K hsa:101060351
TBC1D7 hsa:51256
TBCD hsa:6904
