NINJ1 hsa:4814 
NIPSNAP1 hsa:8508 
NKIRAS2 hsa:28511 
NMRAL1 hsa:57407 
NNAT hsa:4826 
NOC3L hsa:64318 
NOD1 hsa:10392 
NOL11 hsa:25926 
NOL8 hsa:55035 
NOM1 hsa:64434 
NOP58 hsa:51602 
NOTCH1 hsa:4851 
NOTCH2 hsa:4853 
NOTCH3 hsa:4854 
NR2F1 hsa:7025 
NR2F2 hsa:7026 
NRN1 hsa:51299 
NRTN hsa:4902 
NSF hsa:4905 
NSMCE3 hsa:56160 
NSUN2 hsa:54888 
NT5C3B hsa:115024 
NT5DC1 hsa:221294 
NUB1 hsa:51667 
NUDT7 hsa:283927 
NXPH4 hsa:11247 
OAF hsa:220323 
ODF2 hsa:4956 
ODF2 hsa:4957 
OPN1SW hsa:611 
OSR2 hsa:116039 
OTULIN hsa:90268 
OXA1L hsa:5018 
P3H1 hsa:64175 
P3H3 hsa:10536 
P3H4 hsa:10609 
PACSIN3 hsa:29763 
PAF1 hsa:54623 
PAF1 hsa:5828 
PAGR1 hsa:79447 
PALLD hsa:23022 
PBX2 hsa:5089 
PCOLCE hsa:5118 
PCSK4 hsa:54760 
PCTP hsa:58488 
PCYT1B hsa:9468 
PDGFRA hsa:5156 
PDIA5 hsa:10954 
PDLIM7 hsa:9260 
PEAR1 hsa:375033 
PEBP1 hsa:5037 
PECR hsa:55825 
PEG10 hsa:23089 
PFKL hsa:5211 
PGGHG hsa:80162 
PHF10 hsa:55274 
PHF6 hsa:84295 
PHRF1 hsa:57661 
PIAS3 hsa:10401 
PIDD1 hsa:55367 
PIF1 hsa:80119 
PIGV hsa:55650 
PITX1 hsa:5307 
PKDCC hsa:91461 
PKMYT1 hsa:9088 
PLA2G6 hsa:8398 
PLAG1 hsa:5324 
PLAGL1 hsa:5325 
PLD1 hsa:5337 
PLD1 hsa:5589 
PLD2 hsa:5338 
PLIN4 hsa:729359 
PLSCR1 hsa:5359 
