TMEM63B hsa:55362
TMOD2 hsa:29767
TNFSF9 hsa:8744
TNNT1 hsa:7138
TPSG1 hsa:25823
TPST1 hsa:8460
TRAPPC6A hsa:79090
TRIM22 hsa:10346
TRIM37 hsa:4591
TRIM71 hsa:131405
TRPC5 hsa:7224
TRPV2 hsa:51393
TRPV3 hsa:162514
TSGA10IP hsa:254187
TSPAN12 hsa:23554
TTC37 hsa:9652
TTYH2 hsa:94015
TUBA1C hsa:84790
TUBB2A hsa:7280
TUBG2 hsa:27175
TYRO3 hsa:7301
UBQLNL hsa:143630
UCHL3 hsa:7347
UHRF1BP1L hsa:23074
UNC80 hsa:285175
UPP1 hsa:7378
USP25 hsa:29761
USP44 hsa:84101
USP45 hsa:85015
UTRN hsa:7402
VAT1 hsa:10493
VAT1 hsa:6570
VSTM4 hsa:196740
WFIKKN1 hsa:117166
WSCD1 hsa:23302
WWC1 hsa:23286
WWC2 hsa:80014
XRRA1 hsa:143570
ZDHHC14 hsa:79683
ZDHHC15 hsa:158866
ZFAND1 hsa:79752
ZHX3 hsa:23051
ZNF28 hsa:7576
ZNF281 hsa:23528
ZNF296 hsa:162979
ZNF501 hsa:115560
ZNF502 hsa:91392
ZNF559-ZNF177 hsa:100529215
ZNF704 hsa:619279
ZNF790 hsa:388536
ZNF813 hsa:126017
ZNF883 hsa:169834
