GPR37L1	hsa:9283
ADAMTSL1	hsa:92949
KCNG4	hsa:93107
B4GALT5	hsa:9334
NDST3	hsa:9348
SLIT2	hsa:9353
ARHGAP18	hsa:93663
CADPS2	hsa:93664
TTYH2	hsa:94015
ARHGAP29	hsa:9411
FAM189A2	hsa:9413
NTN1	hsa:9423
ECEL1	hsa:9427
CPD	hsa:9455
SH3BP5	hsa:9467
CD34	hsa:947
BAG3	hsa:9531
PDE4DIP	hsa:9659
SDC3	hsa:9672
FAM53B	hsa:9679
NUP93	hsa:9688
RIMS2	hsa:9699
CCDC144A	hsa:9720
ZNF536	hsa:9745
TOX	hsa:9760
TSC22D2	hsa:9819
ARHGEF17	hsa:9828
URB1	hsa:9875
RHOBTB1	hsa:9886
GFPT2	hsa:9945
HS3ST3B1	hsa:9953
HS3ST3A1	hsa:9955
