InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AGXT2L1,ETNPPL,GH04J109278,Enhancer,13,COL25A1||COL25A1-DT||lnc-ETNPPL-2||FJ601684-352,0.02862579,Ensembl,BACH1||TCF12||IKZF2||TRIM22||PKNOX1||ARID3A||ZSCAN29||PAX8||DPF2||RELB||GATAD2B||NFE2||ZNF316||ZBTB40||ZNF592||MAFK||MAFG||BCL11A||ARNT||ELF1||NBN||IKZF1||BMI1||NR2F1||EBF1||ZFP91||KLF5||TBX21||ATF7||ATF2||MTA2||TARDBP||BHLHE40||ZNF217||MAFF||ZNF24||NKRF||NFE2L2||ZNF687||SPI1||EMSY||MLLT1||RAD51,-515647
AGXT2L1,ETNPPL,GH04J109009,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.06596225,Ensembl||ENCODE,POLR2A||SMARCA4,-247247
AGXT2L1,ETNPPL,GH04J109007,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.06596225,Ensembl,TEAD4||ZIC2,-245147
AGXT2L1,ETNPPL,GH04J108992,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.07137129,Ensembl,PRDM10||CEBPB||JUN,-229246
AGXT2L1,ETNPPL,GH04J108988,Enhancer,8,piR-47162-108||RF00017-4385||COL25A1||lnc-ETNPPL-2,0.07137129,Ensembl,LEF1||JUND||DPF2||HDAC1||EP300||POLR2A||NFE2||ZNF316||JUN||FOS||TRIM24||FOSL1||TBP||ZNF592||NR2F1||SMAD5||ATF3||ZEB2||NFATC3||SMARCA4||ATF2||SMARCE1||RNF2||MAFF||RAD51||BACH1||TEAD4||EGR1||ZNF148||ARID1B||EMSY||PML||ATF1,-225247
AGXT2L1,ETNPPL,GH04J109039,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2||OSTC,0.06100981,Ensembl,HMBOX1,-277347
AGXT2L1,ETNPPL,GH04J109041,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.06100981,Ensembl,USF2||MEIS2,-278647
AGXT2L1,ETNPPL,GH04J109176,Enhancer,12,FJ601684-352||lnc-ETNPPL-2||COL25A1||HE856226,0.04211328,Ensembl,MYNN||CEBPB,-414347
AGXT2L1,ETNPPL,GH04J109036,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.05963999,Ensembl,,-273447
AGXT2L1,ETNPPL,GH04J109101,Enhancer,12,FJ601684-352||HE856226||COL25A1||lnc-ETNPPL-2,0.04973511,Ensembl,,-338247
