GH15J078215	YY1||CEBPB||MAX||ZBTB7B||ZNF217||EP300||MBD2||REST||CTBP1||FOXA2||RXRA||RFX5||STAT3||TBP||TCF7L2||SIN3A||ZNF143||GATA3||JUND||PKNOX1||HNF4A||FOXA1||MAFF||NFIB||SP1||GATA2||ZNF366||ZNF687||MNT||FOS||ESRRA||ZNF512||ZNF512B||ATF3||PRDM1||SREBF2
GH15J078195	ZNF654||CTCF||REST||TRIM22||ZNF217||RAD21||SMC3||ZNF143||SMARCE1||PKNOX1||SREBF1||MEIS2||ARID4B||ZNF366||ARID2||XRCC5||CTBP1||YY1||ZNF579||TCF12||NBN||RB1||CC2D1A||MAZ||ZNF444
GH15J078197	
GH15J078153	
GH15J078180	CTCF
GH15J078184	
GH15J078155	CEBPB||EP300||PRDM6||GLIS1||ZBTB17||PRDM1
GH15J078177	ZNF654||REST||ZNF592||TRIM22||CTCF||ZBTB7B||ZNF217||RAD21||SMC3||YY1||ZBTB48||ZNF2||ZNF189||MAX||SCRT1||STAT1||GLIS1||ZFP69B||ZNF692||ZNF143||XRCC5||CTBP1||GLIS2||TCF12||PRDM10||ZNF501||CC2D1A||SCRT2||ZNF444
GH15J078161	
GH15J078315	ZNF600||BRCA1||NFIC||ZIC2||REST||CTCF||MAX||RAD21||SMC3||ZFP91||BHLHE40||ZNF318||ZNF24||RB1||GLIS1||ZMYM3||ZNF16||ZNF140||IKZF1||TSC22D4||ZNF143||ZNF687||XRCC5||NFRKB||IKZF2||TCF12||BCOR||CHD2
GH15J078132	JUND||FOS
GH15J078135	CTBP1||ZFP69B||ZNF692||ZBTB33||PRDM10
GH15J078139	CEBPA||YY1||FOXA2||RXRA||ZBTB33||JUND||HNF4A||FOXA1||RAD21||REST||MAX||SP1||GATA2||HLF||HNF4G||EGR1||GABPA||NR2F2||PRDM1
GH15J077554	ZNF341||CTBP1||ZBTB1||ZSCAN4||SUZ12||TSC22D4||ZKSCAN1||MNT||ZNF248
GH15J077822	ZIC2
GH15J078460	CEBPA||HNF4A||ZEB2||SPI1
GH16J089084	ZNF341||HNRNPL||EP300||HIC1
