GH04J184802	SP1||YY1
GH04J184799	HLF||CEBPB
GH04J184765	CTCF||MNT||RAD21||ZNF146||RXRA||NFE2L2
GH04J184881	
GH04J184885	ZNF248||HLF
GH04J184872	
GH04J184777	ZNF766||TRIM28||ZBTB33||POLR2A
GH04J184792	REST||JUND||PRDM1||SP1||ZNF600||CEBPB||RUNX3||FOS||FOSL1||MAFG||BHLHE40||ZNF384||ATF3||JUN||NFE2||POLR2A||MITF||TCF7||NFE2L2||NR3C1||EMSY
GH04J184861	IKZF2||RUNX3||IKZF1
GH04J184782	SPI1||PRDM4||POLR2A
GH04J184787	JUN||ATF2
GH04J184775	GATAD2A||SOX13||CEBPA||TCF7||FOXA2||MAFF||MAFK||HHEX||CREM||FOXP1||BCL6||RARA||KAT2B||KDM1A||SMARCA4||NR2F6||HNF4A||NR2F1||SOX5||FOXA3||MIXL1||CREB1||RXRA
GH04J184878	GATA2
GH04J184771	KDM1A
GH04J184918	
GH04J184932	SMARCA4||GATA2
GH04J184761	POLR2A||IKZF1||IRF2||EBF1||PRDM10||ATF7||CREM
GH04J184738	CTCF||ZNF512||CTBP1||TRIM28||SPI1||ZNF202||HLTF||ZBTB33||CHAMP1||NFXL1||TRIM24
GH04J184911	PKNOX1||ATF3||JUND
GH04J184906	RFX1||REST||RAD21||EED||RUNX3||YY1||SMC3||JUNB||BATF||CTCF||NFIL3||TCF7||HLF||USF2||CREM||RAD51
GH04J184745	CTCF||IKZF1||JUND||FOXA1||MTA2||RXRB||REST||RAD21||SP1||TRIM22||SOX6||EP300||SOX13||THRA||ZNF766||HMBOX1||CEBPB||CTBP1||ESR1||NFE2||FOXK2||HDGF||TGIF2||E2F5||ZNF316||MAFF||ATF3||YY1||SMC3||POLR2A||MAFK||ZNF205||NCOR1||MAFG||ZNF189||NR2F1||GATA3||TFDP1||ZNF592||NCOA1||BHLHE40||ZNF395||SPI1||STAT1||TAL1||ZNF654||ZFP91||SMAD4||BCL6||NR2F6||DPF2||TFAP4||HNF4A||RXRA||ATF2||RARA||TCF12||NFIA||THRB||ARID4B||ZEB2||NFE2L2||KDM1A||MAX||ZBTB33||ATF7||MEIS2||HMG20A||XRCC5||ZNF48||RFX5||MYC||HLF||CBFA2T2||FOXA3||NR3C1||POU5F1||ESRRA||ZNF143||RNF2||NR2C1||NRF1||TRIM24||CBFA2T3||ARID1B||CREB1||CC2D1A||EMSY||ARID2||ATF1||SMARCA4||RERE
GH04J184750	TEAD4||RBM22||SPI1||ZNF184
GH04J184755	NR2F2||RAD21||NR3C1
GH04J184752	
GH04J184924	SPI1
GH04J184937	SCRT2||ESR1||FOXA2||ZBTB17||SCRT1||RCOR1||HNF4A||FEZF1||RXRA||NFIA||SMARCA4||FOXA1||NR3C1||SP1
GH04J184656	ZNF140||ZNF266||ZNF623||ZBTB11||SPI1||ZNF213||ZNF654||ZNF513||ZC3H11A||ZFP64||ZNF781||REST||ZNF518A||BHLHE40||ZNF558||ZNF697||ZBTB8A||PRDM12
GH04J184993	ZIC2||KLF9||POLR2A
GH04J184666	REST||SP1||FOXA2||GABPA||YY1||ZBTB33||JUND||NR2F2||SPI1||RAD21||HNF4A||EGR1||RXRA||MAX||MEIS2||IKZF1||HNF4G||FOXA1||ATF3||NR2C1||DACH1
GH04J184983	GATAD2A||CTCF||REST||RAD21||EED||SMC3||GABPA||MBD1||ZBTB11||MIER3||GABPB1||RCOR1||THAP11||KLF16||IKZF1||HNF4A||BACH1||RXRA||SP1
GH04J185010	
GH04J184972	
GH04J184979	POLR2A||SPI1||MCM7||SMARCA4
GH04J184978	NR2F2||RAD21||CEBPB||RXRA||SP1
