GH05J158910	BCL11A||TRIM22||SMARCA5||EBF1||TBP||BATF||IKZF1||ZNF664||ZNF24||NR2F1||HDGF||ATF2||JUNB||TCF12||PKNOX1||CTCF||MTA2||IKZF2||DPF2||NBN||RELB||ARNT||HMBOX1||MLLT1||BCLAF1
GH05J158935	
GH05J158976	ZNF600||JUND||ZNF362||ZNF398||ZNF366||ZSCAN21||ZBTB17||PRDM1
GH05J158977	ATF2||ZNF600||ZEB1||FOXA2||FOSL2||BCL11B||JUND||PRDM6||ZNF24||REST||ZNF362||ZNF518A||PRDM4||ZNF398||ZNF366||ZNF561||BCL6B||L3MBTL2||KLF10||ZNF324||ZSCAN21||ZSCAN4||PKNOX1||ZNF660||ZBTB8A||ZXDB||USF2||PRDM10||GFI1B||ZBTB17||EP300||REPIN1||USF1||PRDM1||ZNF335||ZBTB44
GH05J158947	CTCF||FOXA1
GH05J158956	MAZ||TRIM22||CHD1||TCF12||SIN3A||EBF1||BATF||ELF1||BHLHE40||IKZF1||NR2F1||HDGF||MTA3||ATF2||JUNB||ZMYM3||ZNF217||SP1||NKRF||PKNOX1||POLR2A||E2F4||TBL1XR1||SPI1||NANOG||RAD51||ZNF687||MTA2||IKZF2||KDM1A||EED||ZSCAN29||RELB||RUNX3||ETV6||CEBPB||USF1||ARNT||GATAD2B||EZH2||NFIB||MLLT1||BCLAF1
GH05J158967	EBF1||ZNF843||SPI1||PRDM6||ZNF189||GLIS1||TRIM28||IKZF1||PKNOX1||OSR2||POLR2A||PRDM10||ETV6||MLLT1||ZNF335||SCRT2
GH05J159230	CEBPG||CEBPA||CEBPB||EP300||ATF4||ELF3||ZNF548||HLF||ATF3||TRIM24||PRDM10||ZBTB17||SOX6||MYC||ZBTB44
GH05J158965	
GH05J158923	NFIC||ZNF592||EBF1||TBP||BHLHE40||IKZF1||ZNF24||NR2F1||ZNF143||MAFK||ZNF687||MTA2||IKZF2||LARP7||DPF2||GATAD2B||MLLT1
GH05J158921	BCL11A||ZNF207||ZNF592||TRIM22||NR2C1||BATF||ESRRA||BHLHE40||PAX5||IKZF1||BMI1||ZNF24||NR2F1||BACH1||TCF12||KLF5||TBL1XR1||ARID3A||TARDBP||RAD51||ZNF687||MTA2||IKZF2||DPF2||ZSCAN29||NBN||RELB||ARNT||GATAD2B||MLLT1
GH05J158990	ZNF580||ATF2||FEZF1||ZNF585B||ZNF843||JUND||PRDM6||ZNF24||HNF4A||SP7||JUN||KLF10||PKNOX1||ZEB2||MAFK||ZNF629||ZNF692||OSR2||ATF7||ZBTB17||BCL11A||SP1||ZSCAN5C||ZBTB44
GH05J158993	PRDM10
GH05J158908	ZIC2||ZNF592||BATF||IKZF1||PKNOX1||ZNF384||EED||IKZF2||MLLT1
GH05J158932	ZNF24
GH05J158929	FEZF1||PRDM6||MAFK||OSR2
GH05J158981	
GH05J158943	JUND||JUN||BHLHE40||CREB1||CTCF||RAD21||FOS||MAFK||SMC3||ZNF112
GH05J158939	RFX5||BHLHE40||ZNF687||MTA2||TCF12
GH05J158995	ATF2||HIC1||ZBTB10||ZNF639||ZNF132||ZNF316||ZNF843||ZNF24||INSM2||ZFP37||ZNF518A||JUNB||ZBTB21||PRDM4||ZNF398||ZFP69B||SP7||ZNF366||ZBTB7A||KLF10||ZNF324||ATF3||ZSCAN21||ZNF660||ZXDB||SPI1||ZEB2||RAD51||ZNF629||ZNF692||CREM||PATZ1||OSR2||ZNF558||MZF1||PRDM10||ZBTB17||KLF8||ZNF335||ZBTB44
GH05J158998	
GH05J159205	ZNF580||DPF2||NCOR1||NFIC||ZNF592||MNT||NKRF||TAL1||ZFP91||HDAC2||STAT5A||PRDM10||EP400||FOXM1||SMARCA4||TCF12||MTA2||HDAC1||TEAD4||ZMYM3||CREM||L3MBTL2||ARID1B||GMEB1||SMARCE1||TBL1XR1||KDM1A||CBFA2T2||RNF2||ZNF24||IKZF1||SOX6||PKNOX1||EP300||BCOR||GATAD2A||CBFA2T3||ZNF335||MYC||MGA
GH05J158999	
GH05J158919	
GH05J158969	ZNF184||HIC1||ZNF843||PRDM6||ZNF366||BCL6B||ZNF512
GH05J158951	SP1||BCL11A||ZNF592||MAZ||RCOR1||TRIM22||CHD1||SIN3A||IRF4||SMARCA5||EBF1||ASH2L||MAX||TBP||ELF1||BHLHE40||PAX5||IKZF1||REST||NFATC1||BMI1||ZNF24||CHD4||NR2F1||HDGF||MTA3||ATF2||JUNB||BACH1||TCF7||STAT3||TCF12||KLF5||POLR2A||ZBED1||PKNOX1||ARID3A||SPI1||TARDBP||NANOG||ZNF687||CREM||MTA2||IKZF2||YY1||EED||DPF2||ZSCAN29||NBN||RUNX3||RELB||ETV6||CEBPB||ARNT||GATAD2B||EZH2||MLLT1||BCLAF1
GH05J158899	EGR2||ZFHX2
GH05J158903	
GH05J158904	
GH05J158962	ATF4||MLLT1
GH05J158963	
GH05J158897	BCL11A||ZNF207||ZNF592||TRIM22||SMARCA5||EBF1||MAX||ZNF146||TBP||BATF||BHLHE40||IKZF1||RB1||NFATC1||BMI1||ZNF24||ATF2||JUNB||STAT1||BACH1||STAT3||ZNF217||TCF12||KLF5||PKNOX1||POLR2A||ARID3A||SMAD5||SPI1||TARDBP||ZNF687||CREM||MTA2||IKZF2||IRF3||EED||DPF2||NBN||RELB||RUNX3||ETV6||ARNT||ZFHX2
GH05J159509	ZIC2||CTCF||ZNF341||JUND||FOXA2||SIX4||SIN3A||RXRA||NFE2||MAZ||FOXA1||RAD51||TOE1||RAD21||GLIS1||HNF4A||SP1||L3MBTL2||MNT||FOS||MAFK||CBFA2T2||EP300||ZNF579||USF2||ATF3||USF1||NR2F2
GH05J158764	
GH05J158760	
GH05J158418	MAFK
GH05J158818	ZNF687
GH05J158412	JUND||RXRA||RARA||SPI1||BATF||JUNB||HNF4A||ZNF687||RELB||GATAD2B
GH05J158174	KLF17||CTCF||ZNF600||HIC1||REST||MAZ||ZNF654||TRIM22||ZSCAN16||FEZF1||RAD21||SMC3||ZNF843||ZBTB48||PRDM6||ZNF189||ZNF362||ZNF518A||ZNF398||ZNF143||ZNF366||ZNF561||BCL6B||YY2||TBL1XR1||ZBTB12||ZSCAN4||ZNF660||ARID2||ZNF280D||EGR2||PATZ1||YY1||BHLHE40||PRDM10||GFI1B||ZNF501||SMARCA5||ZFHX2||ZNF274||PRDM1||ZNF444||WT1
GH05J158178	GATA2
GH05J158406	POLR2A||MAFF||ZNF316||MAFK||TBP||BATF||JUND||ZNF24||ATF2||JUNB||BACH1||NFE2L2||MTA2||ZBTB33||CEBPB||MLLT1
GH05J158170	ZNF513||SPI1
GH05J158759	
GH05J158758	
GH05J158770	GATA2
GH05J158762	CTCF||RAD21
GH05J158401	
GH05J158402	RELB
GH05J158166	GATA2||CBFA2T3
GH05J158569	YY1||POLR2A
GH05J158162	FEZF1||ZNF146||JUND||ZNF664||ZNF362||GATA2||ZBTB8A||POLR2A
GH05J158398	RCOR1||TRIM22||SMARCA5||CBFB||BHLHE40||TCF7||ZNF217||ZBED1||IKZF1||ZNF687||MTA2||IKZF2||EED||DPF2||PAX8||NBN||RELB||ARNT||BCLAF1
GH05J158399	SCRT2
GH05J158676	CTCF||MAZ||MAX||SRF||IKZF1||SPI1||ZNF143||MTA2||ELK1
GH05J158159	ZFHX2
GH05J158390	CUX1||EBF1||SPI1||BATF||JUND||IKZF1||EED||EP300||USF1
GH05J158560	BCL11A||CEBPA||FEZF1||FOXA2||CUX1||IRF4||EBF1||ZNF843||BATF||BHLHE40||FOXA1||PAX5||IKZF1||NFATC1||BMI1||NR2F1||MTA3||ATF2||JUNB||TCF12||KLF5||PKNOX1||SPI1||EGR2||CREM||MTA2||IKZF2||LARP7||SOX13||EED||DPF2||ZSCAN29||RUNX3||ETV6||GATAD2B||ZFHX2||ZNF335
GH05J158563	SPI1
GH05J158854	ZIC2||NFIC||FEZF1||PRDM6||SREBF1||ZNF366||PKNOX1||CREB1||FOS||MAFK||MZF1||MYNN||RAD21||NFE2L2||SIN3A||SCRT2||ZBTB44
GH05J158154	ATF2||ZNF184||ZNF600||HIC1||ZEB1||RXRA||JUND||ZNF24||ZBTB21||GLIS1||ZNF398||ZNF366||ZNF324||ZSCAN4||ZNF660||ZEB2||ZNF629||ZNF692||PATZ1||OSR2||MZF1||GFI1B||ZBTB17||GLIS2||EP300||KLF8||SCRT2
GH05J158891	SCRT2
GH05J158752	YY1||BCL11A||RCOR1||EZH2||IRF4||RXRA||ZBTB33||JUND||BATF||BHLHE40||PAX5||NFATC1||BMI1||HNF4A||MTA3||ATF2||JUNB||BACH1||RAD21||REST||MAX||ZNF217||HLF||ARID3A||IKZF1||IKZF2||DPF2||EGR1||ATF3||ZSCAN29||PAX8||RELB||RUNX3||CEBPB||ARNT||SP1||BCLAF1
GH05J158750	
GH05J158751	
GH05J158670	SPI1||RAD51||IKZF2
GH05J158558	
GH05J158139	RXRA||TAL1||JUND||FOXA1||MEIS2||ZNF133||NR2F2
GH05J158381	JUND||ZNF184||ZSCAN16||FOSL2||ZNF843||ZBTB48||MYC||BATF||IKZF1||REST||ZNF518A||JUNB||BHLHE40||GLIS1||TFAP4||ZNF16||ZNF324||ATF3||ZSCAN21||POLR2A||ZNF660||ZNF280D||ZEB2||FOS||RAD51||ZNF629||PATZ1||ZNF558||PRDM10||BCL11A||IKZF2||DPF2||EP300||KLF8||RUNX3||CEBPB||ZFHX2||SCRT2||ZBTB44
GH05J158383	JUND||SPI1||MAFK||TOE1||ZNF143||MZF1||USF2||EP300||CEBPB||FOS
GH05J158135	ZIC2||SP1||ZNF366||ATF3||PKNOX1||CHD2||ZNF423
GH05J158137	EBF1
GH05J158138	
GH05J158140	
GH05J158552	
GH05J158553	HLF
GH05J158133	PRDM10
GH05J158744	
GH05J158749	
GH05J158124	TCF12||ZNF24||KDM1A
GH05J158126	ZIC2
GH05J159824	JUND||ZIC2||DEK||CEBPB||MAX||EP300||EBF1||TCF7L2||BATF||SCRT1||PAX5||ATF2||JUNB||ZNF548||ZNF366||RCOR1||MAFK||ZNF512||KDM1A||EED||FOS||PRDM1||SCRT2
GH05J158370	
GH05J158804	FOXA2||ZNF513||SMARCA5||EBF1||NFE2||ATF1||ELF1||CREM||GATA2||CREB1||ZNF687||TCF12||ETV6||BCLAF1
GH05J158544	
GH05J158119	JUND||ZNF184||ZNF600||NFIC||ZNF654||ZSCAN16||FEZF1||PRDM6||ZNF664||NFIB||ZNF350||ZNF561||KLF10||RAD21||ZNF544||ZNF776||PRDM10||ZBTB6||EP300||ZSCAN5C||PRDM1||ZNF335||SCRT2||ZBTB44
GH05J158368	
GH05J158853	EBF1
GH05J158852	BATF||IKZF1||NR2F1||JUNB||PKNOX1||ARID3A||ZNF687||CREM||DPF2
GH05J158541	
