GH0XJ041022	CEBPG||CREB1||GATAD2A||ATF7||ZNF629||RCOR2||PRDM1||RXRB||REST||SP1||CEBPA||ZNF148||SOX13||CEBPB||ETS1||ZNF639||CTBP1||SMARCA4||ZEB1||TSHZ1||SMARCC2||FOS||FOXA2||OSR2||JUN||ATF3||RCOR1||YY1||EP300||ZNF662||PKNOX1||ZNF217||TEAD1||ATF2||TRIM24||JUND||FOSL1||CUX1||CREM||KLF13||WT1||KLF8||IKZF1||FOSL2||SIN3A||SAP130||ZNF184||ZNF189||NR2F1||RFX5||DPF2||JUNB||STAT3||ZGPAT||TBP||ZFP69B||TCF7L2||ATF4||HIC1||ATM||BCL6||ZNF366||HNF4A||NFIL3||RXRA||PRDM6||THAP11||ZNF324||MAFK||KAT2B||ZNF398||ZNF664||MAX||KDM1A||HMG20A||MTA2||MAFF||KLF16||SP3||INSM2||HNF4G||ZNF558||ZNF350||SOX5||LCORL||HLF||SMARCE1||ARID3A||NR2F6||ZNF48||ZBTB33||ZNF362||FOXA3||BCL6B||SMC3||MIXL1||KLF14||SP7||BCL3||NR3C1||ZNF121||KAT8||ZEB2
GH0XJ040570	RFX1||DDX20||MTA2||RELA||PKNOX1||ZNF24||IKZF2||ZNF740||POLR2A||YY1||EED||ZNF766||DPF2||RELB||EGR1||RUNX3||ZBTB2||NFE2||E2F5||NR2C2||ZBTB11||GABPA||MEF2D||ZNF592||FOSL1||MAFG||BCL11A||ARNT||GTF2A2||CUX1||STAT5A||IKZF1||ZNF644||JUNB||TFDP1||HDAC8||STAT1||ZNF395||SPI1||ZNF584||EBF1||ZFP91||ZNF589||NUFIP1||CEBPB||VEZF1||KLF1||ZNF507||ETV1||ID3||ATF7||DIDO1||IRF9||TAF7||SP1||TEAD2||ZNF197||USF2||PYGO2||L3MBTL2||ZNF354B||NR4A1||BACH1||ZNF687||NR2C1||ZNF148||CAVIN1||ZBTB40||ZKSCAN8||ZNF639||ETV6||CREM||PTTG1||ATF1||ZNF83
GH0XJ039853	SP1||PRDM10||ZNF512||IKZF1||RFX5||JUND||PRDM1||RELA||ZIC2||PATZ1||NR2C1||RAD21||TCF12||IKZF2||TRIM22||DPF2||POLR2A||YY1||EP300||EED||RELB||EGR1||CTBP1||RUNX3||TAF9B||GATAD2B||NFE2||CEBPB||FOS||ASH2L||ZNF316||BCLAF1||ZBTB40||CBFB||JUN||MEF2D||NCOR1||FOSL1||MAFG||BCL11A||ELF1||NBN||ZFHX2||STAT5A||FOSL2||NR2F1||JUNB||ZNF207||MAFK||ZNF592||SPI1||IRF4||BATF||EBF1||NR2F6||TBP||TBL1XR1||ATF3||ATF2||ETV1||GLIS1||TBX21||ZEB2||KLF10||ATF7||MEIS2||TAF1||NFATC1||MTA2||MAFF||SMARCA4||MTA3||REST||SMARCE1||BHLHE40||CTCF||EGR2||TEAD4||CBFA2T2||ZNF687||RNF2||DACH1||CBFA2T3||KLF14||ARID1B||GLIS2||EMSY||ETV6||ZBED1||CREM||MLLT1
GH0XJ040504	TEAD4||RELA
GH20J032756	RCOR2||DPF2||FOXA2||ZKSCAN1||FOSL2||TFAP4||ZNF664||ZBTB33||JUND||NANOG||FOXA3||POU5F1
GH20J032759	PRDM10||ZNF18
GH20J032768	POLR2A
GH20J032767	POLR2A||SOX13||RAD51||SAP130||ZGPAT||SMAD4||NFIA||TEAD3||SOX5||BHLHE40||SP5||AHR
GH20J032770	SOX13||SCRT2||HMBOX1||EGR1||ESR1||FOXA2||SCRT1||FOXP1||SAP130||GATA3||NFIL3||INSM2||SOX5||ARID3A||FOXA3||GFI1B||SP7||ZNF24||ZNF121
GH20J032775	HNRNPL||GATAD2A||FOXA1||ZIC2||CTCF||SP1||GABPA||ZNF600||FOXA2||WT1||ZFHX2||SAP130||GABPB1||SPI1||ZFP69B||SMAD4||BCL6||IKZF5||NR2C2||RARA||GLIS1||ARID4B||ZNF664||HNF4A||MYC||HLF||MAX||ZNF580||POLR2A||NFYC||EGR2||ELF1||FOXA3||MIXL1||SP7||HNF1A||RXRA
GH20J032748	ARHGAP35||ATF7||ZNF629||LEF1||IKZF1||KDM1A||JUND||DDX20||PRDM1||PHF21A||PKNOX1||ZNF24||MTA1||REST||BRD9||POLR2A||DPF2||HDAC1||ETV6||SOX6||FOXJ2||GATAD2B||TCF12||EP300||SCRT2||NONO||MGA||CBX3||ZNF184||ZNF766||HMBOX1||MTA3||CEBPB||CTBP1||TAF9B||ZBTB2||NFE2||HES1||FOXK2||TCF7||HDAC2||ZBED1||NCOA2||GATAD2A||E2F5||ZSCAN29||ZNF316||NFRKB||MAFF||PHB2||ZBTB11||ZBTB48||FOS||GABPA||MEF2D||ZNF318||AFF1||MAFK||MNT||YY1||TBL1XR1||MYC||EP400||TRIM28||TRIM24||TARDBP||SCRT1||NCOR1||FOSL1||MAFG||MIER1||EHMT2||NFIC||ARNT||WT1||ZC3H8||KLF8||STAT5A||BCOR||MYNN||TBP||ZNF189||FOXM1||ZNF592||NCOA1||ZNF395||NR2F1||STAT3||ZNF384||ELF1||ETS1||SKIL||TAL1||ZBTB5||CREM||ZMYM3||HIC1||RCOR1||ZFP91||CBX1||NR2F6||BHLHE40||ADNP||HLTF||NUFIP1||NFATC3||MCM7||ZSCAN23||VEZF1||NFIL3||ATF3||NRF1||ETV1||PRDM10||ID3||ZNF660||NBN||ATF1||KHSRP||ZNF664||ZEB2||NFE2L2||MEIS2||JUN||MTA2||KLF16||SMARCA4||SP1||SIRT6||ATF2||MXI1||SMARCE1||RNF2||TRIM22||TAF1||NANOG||ZBTB40||HLF||RAD51||ZNF197||E2F7||RB1||GABPB1||CUX1||PYGO2||RLF||L3MBTL2||BACH1||CHAMP1||TEAD4||ZNF362||CBFA2T2||POU5F1||ESRRA||CDC5L||NFXL1||ZNF143||EGR1||NR2C1||ZFX||ZNF148||DACH1||CBFA2T3||MLLT1||ARID1B||MCM2||SMARCA5||SP7||CC2D1A||ZKSCAN8||GTF2F1||ZNF639||EMSY||ZBTB8A||PML||GMEB1
